Draw,Date,Pick3,Pick4,Date_Time,Date_Str,Date_Delta,Pick3str,Pick4str,P3B1,P3B2,P3B3,P4B1,P4B2,P4B3,P4B4
1,2012-01-16,622,6509,2012-01-16,20120116,15.0,622,6509,6,2,2,6,5,0,9
0,2012-01-17,560,5259,2012-01-17,20120117,16.0,560,5259,5,6,0,5,2,5,9
1,2012-01-17,176,7265,2012-01-17,20120117,16.0,176,7265,1,7,6,7,2,6,5
1,2012-01-18,126,3817,2012-01-18,20120118,17.0,126,3817,1,2,6,3,8,1,7
0,2012-01-18,352,7655,2012-01-18,20120118,17.0,352,7655,3,5,2,7,6,5,5
0,2012-01-19,697,4548,2012-01-19,20120119,18.0,697,4548,6,9,7,4,5,4,8
1,2012-01-19,743,8346,2012-01-19,20120119,18.0,743,8346,7,4,3,8,3,4,6
0,2012-01-20,580,2067,2012-01-20,20120120,19.0,580,2067,5,8,0,2,0,6,7
1,2012-01-20,588,8762,2012-01-20,20120120,19.0,588,8762,5,8,8,8,7,6,2
0,2012-01-21,293,2505,2012-01-21,20120121,20.0,293,2505,2,9,3,2,5,0,5
1,2012-01-21,680,5329,2012-01-21,20120121,20.0,680,5329,6,8,0,5,3,2,9
0,2012-01-22,126,9818,2012-01-22,20120122,21.0,126,9818,1,2,6,9,8,1,8
1,2012-01-22,26,1385,2012-01-22,20120122,21.0,026,1385,0,2,6,1,3,8,5
1,2012-01-23,904,4727,2012-01-23,20120123,22.0,904,4727,9,0,4,4,7,2,7
0,2012-01-23,485,4436,2012-01-23,20120123,22.0,485,4436,4,8,5,4,4,3,6
0,2012-01-24,576,5910,2012-01-24,20120124,23.0,576,5910,5,7,6,5,9,1,0
1,2012-01-24,12,4262,2012-01-24,20120124,23.0,012,4262,0,1,2,4,2,6,2
0,2012-01-25,881,3481,2012-01-25,20120125,24.0,881,3481,8,8,1,3,4,8,1
1,2012-01-25,690,7140,2012-01-25,20120125,24.0,690,7140,6,9,0,7,1,4,0
0,2012-01-26,30,1984,2012-01-26,20120126,25.0,030,1984,0,3,0,1,9,8,4
1,2012-01-26,196,3556,2012-01-26,20120126,25.0,196,3556,1,9,6,3,5,5,6
0,2012-01-27,610,6281,2012-01-27,20120127,26.0,610,6281,6,1,0,6,2,8,1
1,2012-01-27,298,6234,2012-01-27,20120127,26.0,298,6234,2,9,8,6,2,3,4
1,2012-01-28,533,5414,2012-01-28,20120128,27.0,533,5414,5,3,3,5,4,1,4
0,2012-01-28,776,5556,2012-01-28,20120128,27.0,776,5556,7,7,6,5,5,5,6
0,2012-01-29,202,5195,2012-01-29,20120129,28.0,202,5195,2,0,2,5,1,9,5
1,2012-01-29,532,54,2012-01-29,20120129,28.0,532,0054,5,3,2,0,0,5,4
0,2012-01-30,235,2297,2012-01-30,20120130,29.0,235,2297,2,3,5,2,2,9,7
1,2012-01-30,105,524,2012-01-30,20120130,29.0,105,0524,1,0,5,0,5,2,4
0,2012-01-31,862,5199,2012-01-31,20120131,30.0,862,5199,8,6,2,5,1,9,9
1,2012-01-31,2,4253,2012-01-31,20120131,30.0,002,4253,0,0,2,4,2,5,3
0,2012-02-01,18,1227,2012-02-01,20120201,31.0,018,1227,0,1,8,1,2,2,7
1,2012-02-01,140,2337,2012-02-01,20120201,31.0,140,2337,1,4,0,2,3,3,7
0,2012-02-02,23,8488,2012-02-02,20120202,32.0,023,8488,0,2,3,8,4,8,8
1,2012-02-02,113,991,2012-02-02,20120202,32.0,113,0991,1,1,3,0,9,9,1
1,2012-02-03,141,7861,2012-02-03,20120203,33.0,141,7861,1,4,1,7,8,6,1
0,2012-02-03,333,8580,2012-02-03,20120203,33.0,333,8580,3,3,3,8,5,8,0
0,2012-02-04,163,2188,2012-02-04,20120204,34.0,163,2188,1,6,3,2,1,8,8
1,2012-02-04,442,6398,2012-02-04,20120204,34.0,442,6398,4,4,2,6,3,9,8
0,2012-02-05,779,6623,2012-02-05,20120205,35.0,779,6623,7,7,9,6,6,2,3
1,2012-02-05,86,4141,2012-02-05,20120205,35.0,086,4141,0,8,6,4,1,4,1
0,2012-02-06,930,8012,2012-02-06,20120206,36.0,930,8012,9,3,0,8,0,1,2
1,2012-02-06,733,9824,2012-02-06,20120206,36.0,733,9824,7,3,3,9,8,2,4
0,2012-02-07,460,7602,2012-02-07,20120207,37.0,460,7602,4,6,0,7,6,0,2
1,2012-02-07,487,7499,2012-02-07,20120207,37.0,487,7499,4,8,7,7,4,9,9
1,2012-02-08,451,6434,2012-02-08,20120208,38.0,451,6434,4,5,1,6,4,3,4
0,2012-02-08,294,3827,2012-02-08,20120208,38.0,294,3827,2,9,4,3,8,2,7
1,2012-02-09,865,9923,2012-02-09,20120209,39.0,865,9923,8,6,5,9,9,2,3
0,2012-02-09,540,1726,2012-02-09,20120209,39.0,540,1726,5,4,0,1,7,2,6
0,2012-02-10,375,436,2012-02-10,20120210,40.0,375,0436,3,7,5,0,4,3,6
1,2012-02-10,720,2237,2012-02-10,20120210,40.0,720,2237,7,2,0,2,2,3,7
0,2012-02-11,553,2949,2012-02-11,20120211,41.0,553,2949,5,5,3,2,9,4,9
1,2012-02-11,740,1940,2012-02-11,20120211,41.0,740,1940,7,4,0,1,9,4,0
0,2012-02-12,202,1092,2012-02-12,20120212,42.0,202,1092,2,0,2,1,0,9,2
1,2012-02-12,410,6231,2012-02-12,20120212,42.0,410,6231,4,1,0,6,2,3,1
0,2012-02-13,510,1936,2012-02-13,20120213,43.0,510,1936,5,1,0,1,9,3,6
1,2012-02-13,404,5080,2012-02-13,20120213,43.0,404,5080,4,0,4,5,0,8,0
0,2012-02-14,690,1801,2012-02-14,20120214,44.0,690,1801,6,9,0,1,8,0,1
1,2012-02-14,326,7771,2012-02-14,20120214,44.0,326,7771,3,2,6,7,7,7,1
1,2012-02-15,442,1502,2012-02-15,20120215,45.0,442,1502,4,4,2,1,5,0,2
0,2012-02-15,219,8386,2012-02-15,20120215,45.0,219,8386,2,1,9,8,3,8,6
0,2012-02-16,826,8320,2012-02-16,20120216,46.0,826,8320,8,2,6,8,3,2,0
1,2012-02-16,718,1290,2012-02-16,20120216,46.0,718,1290,7,1,8,1,2,9,0
0,2012-02-17,928,6411,2012-02-17,20120217,47.0,928,6411,9,2,8,6,4,1,1
1,2012-02-17,769,4279,2012-02-17,20120217,47.0,769,4279,7,6,9,4,2,7,9
0,2012-02-18,251,9591,2012-02-18,20120218,48.0,251,9591,2,5,1,9,5,9,1
1,2012-02-18,920,9873,2012-02-18,20120218,48.0,920,9873,9,2,0,9,8,7,3
0,2012-02-19,628,4980,2012-02-19,20120219,49.0,628,4980,6,2,8,4,9,8,0
1,2012-02-19,172,863,2012-02-19,20120219,49.0,172,0863,1,7,2,0,8,6,3
1,2012-02-20,272,3915,2012-02-20,20120220,50.0,272,3915,2,7,2,3,9,1,5
0,2012-02-20,653,1442,2012-02-20,20120220,50.0,653,1442,6,5,3,1,4,4,2
0,2012-02-21,255,2206,2012-02-21,20120221,51.0,255,2206,2,5,5,2,2,0,6
1,2012-02-21,511,1272,2012-02-21,20120221,51.0,511,1272,5,1,1,1,2,7,2
0,2012-02-22,313,1974,2012-02-22,20120222,52.0,313,1974,3,1,3,1,9,7,4
1,2012-02-22,290,5566,2012-02-22,20120222,52.0,290,5566,2,9,0,5,5,6,6
0,2012-02-23,224,6010,2012-02-23,20120223,53.0,224,6010,2,2,4,6,0,1,0
1,2012-02-23,14,6116,2012-02-23,20120223,53.0,014,6116,0,1,4,6,1,1,6
0,2012-02-24,363,3737,2012-02-24,20120224,54.0,363,3737,3,6,3,3,7,3,7
1,2012-02-24,658,1941,2012-02-24,20120224,54.0,658,1941,6,5,8,1,9,4,1
0,2012-02-25,750,2257,2012-02-25,20120225,55.0,750,2257,7,5,0,2,2,5,7
1,2012-02-25,806,8083,2012-02-25,20120225,55.0,806,8083,8,0,6,8,0,8,3
1,2012-02-26,770,3677,2012-02-26,20120226,56.0,770,3677,7,7,0,3,6,7,7
0,2012-02-26,526,8236,2012-02-26,20120226,56.0,526,8236,5,2,6,8,2,3,6
0,2012-02-27,416,3117,2012-02-27,20120227,57.0,416,3117,4,1,6,3,1,1,7
1,2012-02-27,155,8881,2012-02-27,20120227,57.0,155,8881,1,5,5,8,8,8,1
0,2012-02-28,908,9006,2012-02-28,20120228,58.0,908,9006,9,0,8,9,0,0,6
1,2012-02-28,397,3043,2012-02-28,20120228,58.0,397,3043,3,9,7,3,0,4,3
0,2012-02-29,0,4918,2012-02-29,20120229,59.0,000,4918,0,0,0,4,9,1,8
1,2012-02-29,783,3879,2012-02-29,20120229,59.0,783,3879,7,8,3,3,8,7,9
0,2012-03-01,128,645,2012-03-01,20120301,60.0,128,0645,1,2,8,0,6,4,5
1,2012-03-01,970,3407,2012-03-01,20120301,60.0,970,3407,9,7,0,3,4,0,7
1,2012-03-02,216,6918,2012-03-02,20120302,61.0,216,6918,2,1,6,6,9,1,8
0,2012-03-02,900,8676,2012-03-02,20120302,61.0,900,8676,9,0,0,8,6,7,6
1,2012-03-03,519,2710,2012-03-03,20120303,62.0,519,2710,5,1,9,2,7,1,0
0,2012-03-03,4,2594,2012-03-03,20120303,62.0,004,2594,0,0,4,2,5,9,4
0,2012-03-04,599,6046,2012-03-04,20120304,63.0,599,6046,5,9,9,6,0,4,6
1,2012-03-04,592,1414,2012-03-04,20120304,63.0,592,1414,5,9,2,1,4,1,4
0,2012-03-05,528,6714,2012-03-05,20120305,64.0,528,6714,5,2,8,6,7,1,4
1,2012-03-05,897,7349,2012-03-05,20120305,64.0,897,7349,8,9,7,7,3,4,9
0,2012-03-06,588,8727,2012-03-06,20120306,65.0,588,8727,5,8,8,8,7,2,7
1,2012-03-06,908,7006,2012-03-06,20120306,65.0,908,7006,9,0,8,7,0,0,6
0,2012-03-07,253,2831,2012-03-07,20120307,66.0,253,2831,2,5,3,2,8,3,1
1,2012-03-07,139,5900,2012-03-07,20120307,66.0,139,5900,1,3,9,5,9,0,0
1,2012-03-08,971,2416,2012-03-08,20120308,67.0,971,2416,9,7,1,2,4,1,6
0,2012-03-08,731,2549,2012-03-08,20120308,67.0,731,2549,7,3,1,2,5,4,9
1,2012-03-09,768,1314,2012-03-09,20120309,68.0,768,1314,7,6,8,1,3,1,4
0,2012-03-09,394,501,2012-03-09,20120309,68.0,394,0501,3,9,4,0,5,0,1
0,2012-03-10,885,6499,2012-03-10,20120310,69.0,885,6499,8,8,5,6,4,9,9
1,2012-03-10,934,6855,2012-03-10,20120310,69.0,934,6855,9,3,4,6,8,5,5
0,2012-03-11,856,3603,2012-03-11,20120311,70.0,856,3603,8,5,6,3,6,0,3
1,2012-03-11,37,6182,2012-03-11,20120311,70.0,037,6182,0,3,7,6,1,8,2
0,2012-03-12,959,7643,2012-03-12,20120312,71.0,959,7643,9,5,9,7,6,4,3
1,2012-03-12,121,6996,2012-03-12,20120312,71.0,121,6996,1,2,1,6,9,9,6
0,2012-03-13,236,2709,2012-03-13,20120313,72.0,236,2709,2,3,6,2,7,0,9
1,2012-03-13,139,7846,2012-03-13,20120313,72.0,139,7846,1,3,9,7,8,4,6
0,2012-03-14,770,666,2012-03-14,20120314,73.0,770,0666,7,7,0,0,6,6,6
1,2012-03-14,841,5166,2012-03-14,20120314,73.0,841,5166,8,4,1,5,1,6,6
1,2012-03-15,386,5741,2012-03-15,20120315,74.0,386,5741,3,8,6,5,7,4,1
0,2012-03-15,196,6828,2012-03-15,20120315,74.0,196,6828,1,9,6,6,8,2,8
0,2012-03-16,973,4353,2012-03-16,20120316,75.0,973,4353,9,7,3,4,3,5,3
1,2012-03-16,147,3187,2012-03-16,20120316,75.0,147,3187,1,4,7,3,1,8,7
0,2012-03-17,212,4582,2012-03-17,20120317,76.0,212,4582,2,1,2,4,5,8,2
1,2012-03-17,332,9523,2012-03-17,20120317,76.0,332,9523,3,3,2,9,5,2,3
0,2012-03-18,926,8897,2012-03-18,20120318,77.0,926,8897,9,2,6,8,8,9,7
1,2012-03-18,996,1940,2012-03-18,20120318,77.0,996,1940,9,9,6,1,9,4,0
0,2012-03-19,797,5972,2012-03-19,20120319,78.0,797,5972,7,9,7,5,9,7,2
1,2012-03-19,866,9305,2012-03-19,20120319,78.0,866,9305,8,6,6,9,3,0,5
1,2012-03-20,467,3387,2012-03-20,20120320,79.0,467,3387,4,6,7,3,3,8,7
0,2012-03-20,272,8638,2012-03-20,20120320,79.0,272,8638,2,7,2,8,6,3,8
0,2012-03-21,430,3846,2012-03-21,20120321,80.0,430,3846,4,3,0,3,8,4,6
1,2012-03-21,28,2723,2012-03-21,20120321,80.0,028,2723,0,2,8,2,7,2,3
0,2012-03-22,347,4984,2012-03-22,20120322,81.0,347,4984,3,4,7,4,9,8,4
1,2012-03-22,463,440,2012-03-22,20120322,81.0,463,0440,4,6,3,0,4,4,0
0,2012-03-23,694,4736,2012-03-23,20120323,82.0,694,4736,6,9,4,4,7,3,6
1,2012-03-23,927,1296,2012-03-23,20120323,82.0,927,1296,9,2,7,1,2,9,6
0,2012-03-24,317,6594,2012-03-24,20120324,83.0,317,6594,3,1,7,6,5,9,4
1,2012-03-24,142,1431,2012-03-24,20120324,83.0,142,1431,1,4,2,1,4,3,1
1,2012-03-25,492,6200,2012-03-25,20120325,84.0,492,6200,4,9,2,6,2,0,0
0,2012-03-25,315,5607,2012-03-25,20120325,84.0,315,5607,3,1,5,5,6,0,7
0,2012-03-26,71,4336,2012-03-26,20120326,85.0,071,4336,0,7,1,4,3,3,6
1,2012-03-26,100,328,2012-03-26,20120326,85.0,100,0328,1,0,0,0,3,2,8
0,2012-03-27,437,9530,2012-03-27,20120327,86.0,437,9530,4,3,7,9,5,3,0
1,2012-03-27,446,4072,2012-03-27,20120327,86.0,446,4072,4,4,6,4,0,7,2
0,2012-03-28,869,9872,2012-03-28,20120328,87.0,869,9872,8,6,9,9,8,7,2
1,2012-03-28,856,1998,2012-03-28,20120328,87.0,856,1998,8,5,6,1,9,9,8
0,2012-03-29,951,1372,2012-03-29,20120329,88.0,951,1372,9,5,1,1,3,7,2
1,2012-03-29,883,297,2012-03-29,20120329,88.0,883,0297,8,8,3,0,2,9,7
0,2012-03-30,22,2448,2012-03-30,20120330,89.0,022,2448,0,2,2,2,4,4,8
1,2012-03-30,377,2482,2012-03-30,20120330,89.0,377,2482,3,7,7,2,4,8,2
1,2012-03-31,730,7029,2012-03-31,20120331,90.0,730,7029,7,3,0,7,0,2,9
0,2012-03-31,669,8657,2012-03-31,20120331,90.0,669,8657,6,6,9,8,6,5,7
1,2012-04-01,620,7972,2012-04-01,20120401,91.0,620,7972,6,2,0,7,9,7,2
0,2012-04-01,627,4093,2012-04-01,20120401,91.0,627,4093,6,2,7,4,0,9,3
0,2012-04-02,664,5272,2012-04-02,20120402,92.0,664,5272,6,6,4,5,2,7,2
1,2012-04-02,38,6353,2012-04-02,20120402,92.0,038,6353,0,3,8,6,3,5,3
0,2012-04-03,91,5405,2012-04-03,20120403,93.0,091,5405,0,9,1,5,4,0,5
1,2012-04-03,543,1361,2012-04-03,20120403,93.0,543,1361,5,4,3,1,3,6,1
0,2012-04-04,29,2213,2012-04-04,20120404,94.0,029,2213,0,2,9,2,2,1,3
1,2012-04-04,123,3911,2012-04-04,20120404,94.0,123,3911,1,2,3,3,9,1,1
0,2012-04-05,832,4570,2012-04-05,20120405,95.0,832,4570,8,3,2,4,5,7,0
1,2012-04-05,398,8330,2012-04-05,20120405,95.0,398,8330,3,9,8,8,3,3,0
1,2012-04-06,664,1627,2012-04-06,20120406,96.0,664,1627,6,6,4,1,6,2,7
0,2012-04-06,929,208,2012-04-06,20120406,96.0,929,0208,9,2,9,0,2,0,8
0,2012-04-07,573,7199,2012-04-07,20120407,97.0,573,7199,5,7,3,7,1,9,9
1,2012-04-07,754,3450,2012-04-07,20120407,97.0,754,3450,7,5,4,3,4,5,0
0,2012-04-08,735,1810,2012-04-08,20120408,98.0,735,1810,7,3,5,1,8,1,0
1,2012-04-08,940,5435,2012-04-08,20120408,98.0,940,5435,9,4,0,5,4,3,5
0,2012-04-09,168,2694,2012-04-09,20120409,99.0,168,2694,1,6,8,2,6,9,4
1,2012-04-09,157,9170,2012-04-09,20120409,99.0,157,9170,1,5,7,9,1,7,0
0,2012-04-10,693,6535,2012-04-10,20120410,100.0,693,6535,6,9,3,6,5,3,5
1,2012-04-10,560,5409,2012-04-10,20120410,100.0,560,5409,5,6,0,5,4,0,9
0,2012-04-11,305,9432,2012-04-11,20120411,101.0,305,9432,3,0,5,9,4,3,2
1,2012-04-11,982,5935,2012-04-11,20120411,101.0,982,5935,9,8,2,5,9,3,5
1,2012-04-12,528,1362,2012-04-12,20120412,102.0,528,1362,5,2,8,1,3,6,2
0,2012-04-12,166,7835,2012-04-12,20120412,102.0,166,7835,1,6,6,7,8,3,5
0,2012-04-13,268,9474,2012-04-13,20120413,103.0,268,9474,2,6,8,9,4,7,4
1,2012-04-13,437,822,2012-04-13,20120413,103.0,437,0822,4,3,7,0,8,2,2
0,2012-04-14,456,1003,2012-04-14,20120414,104.0,456,1003,4,5,6,1,0,0,3
1,2012-04-14,684,9945,2012-04-14,20120414,104.0,684,9945,6,8,4,9,9,4,5
0,2012-04-15,437,8550,2012-04-15,20120415,105.0,437,8550,4,3,7,8,5,5,0
1,2012-04-15,746,2409,2012-04-15,20120415,105.0,746,2409,7,4,6,2,4,0,9
0,2012-04-16,18,5170,2012-04-16,20120416,106.0,018,5170,0,1,8,5,1,7,0
1,2012-04-16,844,5160,2012-04-16,20120416,106.0,844,5160,8,4,4,5,1,6,0
1,2012-04-17,354,6482,2012-04-17,20120417,107.0,354,6482,3,5,4,6,4,8,2
0,2012-04-17,776,1511,2012-04-17,20120417,107.0,776,1511,7,7,6,1,5,1,1
1,2012-04-18,975,7023,2012-04-18,20120418,108.0,975,7023,9,7,5,7,0,2,3
0,2012-04-18,992,2864,2012-04-18,20120418,108.0,992,2864,9,9,2,2,8,6,4
0,2012-04-19,112,7210,2012-04-19,20120419,109.0,112,7210,1,1,2,7,2,1,0
1,2012-04-19,998,5686,2012-04-19,20120419,109.0,998,5686,9,9,8,5,6,8,6
0,2012-04-20,445,4053,2012-04-20,20120420,110.0,445,4053,4,4,5,4,0,5,3
1,2012-04-20,855,938,2012-04-20,20120420,110.0,855,0938,8,5,5,0,9,3,8
0,2012-04-21,4,457,2012-04-21,20120421,111.0,004,0457,0,0,4,0,4,5,7
1,2012-04-21,314,4255,2012-04-21,20120421,111.0,314,4255,3,1,4,4,2,5,5
0,2012-04-22,9,3772,2012-04-22,20120422,112.0,009,3772,0,0,9,3,7,7,2
1,2012-04-22,721,1860,2012-04-22,20120422,112.0,721,1860,7,2,1,1,8,6,0
0,2012-04-23,219,4716,2012-04-23,20120423,113.0,219,4716,2,1,9,4,7,1,6
1,2012-04-23,21,8641,2012-04-23,20120423,113.0,021,8641,0,2,1,8,6,4,1
1,2012-04-24,612,4860,2012-04-24,20120424,114.0,612,4860,6,1,2,4,8,6,0
0,2012-04-24,707,2946,2012-04-24,20120424,114.0,707,2946,7,0,7,2,9,4,6
0,2012-04-25,822,5830,2012-04-25,20120425,115.0,822,5830,8,2,2,5,8,3,0
1,2012-04-25,76,1063,2012-04-25,20120425,115.0,076,1063,0,7,6,1,0,6,3
0,2012-04-26,352,6577,2012-04-26,20120426,116.0,352,6577,3,5,2,6,5,7,7
1,2012-04-26,215,174,2012-04-26,20120426,116.0,215,0174,2,1,5,0,1,7,4
0,2012-04-27,574,3038,2012-04-27,20120427,117.0,574,3038,5,7,4,3,0,3,8
1,2012-04-27,182,4483,2012-04-27,20120427,117.0,182,4483,1,8,2,4,4,8,3
0,2012-04-28,390,8885,2012-04-28,20120428,118.0,390,8885,3,9,0,8,8,8,5
1,2012-04-28,277,387,2012-04-28,20120428,118.0,277,0387,2,7,7,0,3,8,7
1,2012-04-29,70,7644,2012-04-29,20120429,119.0,070,7644,0,7,0,7,6,4,4
0,2012-04-29,474,5613,2012-04-29,20120429,119.0,474,5613,4,7,4,5,6,1,3
0,2012-04-30,54,3684,2012-04-30,20120430,120.0,054,3684,0,5,4,3,6,8,4
1,2012-04-30,284,4934,2012-04-30,20120430,120.0,284,4934,2,8,4,4,9,3,4
0,2012-05-01,499,7407,2012-05-01,20120501,121.0,499,7407,4,9,9,7,4,0,7
1,2012-05-01,837,8232,2012-05-01,20120501,121.0,837,8232,8,3,7,8,2,3,2
0,2012-05-02,8,8473,2012-05-02,20120502,122.0,008,8473,0,0,8,8,4,7,3
1,2012-05-02,160,9704,2012-05-02,20120502,122.0,160,9704,1,6,0,9,7,0,4
0,2012-05-03,494,248,2012-05-03,20120503,123.0,494,0248,4,9,4,0,2,4,8
1,2012-05-03,80,6150,2012-05-03,20120503,123.0,080,6150,0,8,0,6,1,5,0
1,2012-05-04,429,606,2012-05-04,20120504,124.0,429,0606,4,2,9,0,6,0,6
0,2012-05-04,586,9854,2012-05-04,20120504,124.0,586,9854,5,8,6,9,8,5,4
1,2012-05-05,992,3016,2012-05-05,20120505,125.0,992,3016,9,9,2,3,0,1,6
0,2012-05-05,354,7727,2012-05-05,20120505,125.0,354,7727,3,5,4,7,7,2,7
0,2012-05-06,155,2107,2012-05-06,20120506,126.0,155,2107,1,5,5,2,1,0,7
1,2012-05-06,791,1822,2012-05-06,20120506,126.0,791,1822,7,9,1,1,8,2,2
0,2012-05-07,634,1950,2012-05-07,20120507,127.0,634,1950,6,3,4,1,9,5,0
1,2012-05-07,708,9413,2012-05-07,20120507,127.0,708,9413,7,0,8,9,4,1,3
0,2012-05-08,229,3023,2012-05-08,20120508,128.0,229,3023,2,2,9,3,0,2,3
1,2012-05-08,911,2708,2012-05-08,20120508,128.0,911,2708,9,1,1,2,7,0,8
0,2012-05-09,433,3309,2012-05-09,20120509,129.0,433,3309,4,3,3,3,3,0,9
1,2012-05-09,115,6620,2012-05-09,20120509,129.0,115,6620,1,1,5,6,6,2,0
1,2012-05-10,31,2219,2012-05-10,20120510,130.0,031,2219,0,3,1,2,2,1,9
0,2012-05-10,36,4116,2012-05-10,20120510,130.0,036,4116,0,3,6,4,1,1,6
0,2012-05-11,467,1024,2012-05-11,20120511,131.0,467,1024,4,6,7,1,0,2,4
1,2012-05-11,511,3764,2012-05-11,20120511,131.0,511,3764,5,1,1,3,7,6,4
0,2012-05-12,431,112,2012-05-12,20120512,132.0,431,0112,4,3,1,0,1,1,2
1,2012-05-12,493,6788,2012-05-12,20120512,132.0,493,6788,4,9,3,6,7,8,8
0,2012-05-13,212,8748,2012-05-13,20120513,133.0,212,8748,2,1,2,8,7,4,8
1,2012-05-13,219,2429,2012-05-13,20120513,133.0,219,2429,2,1,9,2,4,2,9
0,2012-05-14,255,4462,2012-05-14,20120514,134.0,255,4462,2,5,5,4,4,6,2
1,2012-05-14,401,9839,2012-05-14,20120514,134.0,401,9839,4,0,1,9,8,3,9
0,2012-05-15,289,3154,2012-05-15,20120515,135.0,289,3154,2,8,9,3,1,5,4
1,2012-05-15,418,3548,2012-05-15,20120515,135.0,418,3548,4,1,8,3,5,4,8
1,2012-05-16,640,304,2012-05-16,20120516,136.0,640,0304,6,4,0,0,3,0,4
0,2012-05-16,276,4652,2012-05-16,20120516,136.0,276,4652,2,7,6,4,6,5,2
1,2012-05-17,713,8147,2012-05-17,20120517,137.0,713,8147,7,1,3,8,1,4,7
0,2012-05-17,358,4141,2012-05-17,20120517,137.0,358,4141,3,5,8,4,1,4,1
0,2012-05-18,556,1110,2012-05-18,20120518,138.0,556,1110,5,5,6,1,1,1,0
1,2012-05-18,458,1837,2012-05-18,20120518,138.0,458,1837,4,5,8,1,8,3,7
0,2012-05-19,26,8231,2012-05-19,20120519,139.0,026,8231,0,2,6,8,2,3,1
1,2012-05-19,171,5115,2012-05-19,20120519,139.0,171,5115,1,7,1,5,1,1,5
0,2012-05-20,262,7896,2012-05-20,20120520,140.0,262,7896,2,6,2,7,8,9,6
1,2012-05-20,281,3544,2012-05-20,20120520,140.0,281,3544,2,8,1,3,5,4,4
0,2012-05-21,477,7296,2012-05-21,20120521,141.0,477,7296,4,7,7,7,2,9,6
1,2012-05-21,808,2487,2012-05-21,20120521,141.0,808,2487,8,0,8,2,4,8,7
0,2012-05-22,460,5651,2012-05-22,20120522,142.0,460,5651,4,6,0,5,6,5,1
1,2012-05-22,847,9512,2012-05-22,20120522,142.0,847,9512,8,4,7,9,5,1,2
1,2012-05-23,462,1622,2012-05-23,20120523,143.0,462,1622,4,6,2,1,6,2,2
0,2012-05-23,465,3967,2012-05-23,20120523,143.0,465,3967,4,6,5,3,9,6,7
