Day - Draw,Date,Powerball,Date_Time,Date_Str,Date_Delta
WED - EVE, 1/22/2020, 11 33 44 59 67 +8 x3 $343.00 M/0,2020-01-22,20200122,21.0
THU - EVE, 1/23/2020, ,2020-01-23,20200123,22.0
THU - MID, 1/23/2020, ,2020-01-23,20200123,22.0
FRI - EVE, 1/24/2020, ,2020-01-24,20200124,23.0
FRI - MID, 1/24/2020, ,2020-01-24,20200124,23.0
SAT - EVE, 1/25/2020, 2 9 17 36 67 +18 x2 $373.00 M/0,2020-01-25,20200125,24.0
SAT - MID, 1/25/2020, ,2020-01-25,20200125,24.0
SUN - MID, 1/26/2020, ,2020-01-26,20200126,25.0
SUN - EVE, 1/26/2020, ,2020-01-26,20200126,25.0
MON - EVE, 1/27/2020, ,2020-01-27,20200127,26.0
MON - MID, 1/27/2020, ,2020-01-27,20200127,26.0
TUE - EVE, 1/28/2020, ,2020-01-28,20200128,27.0
TUE - MID, 1/28/2020, ,2020-01-28,20200128,27.0
WED - EVE, 1/29/2020, 9 12 15 31 60 +2 x2 $394.00 M/1,2020-01-29,20200129,28.0
WED - MID, 1/29/2020, ,2020-01-29,20200129,28.0
FRI - MID, 1/3/2020, ,2020-01-03,20200103,2.0
FRI - EVE, 1/3/2020, ,2020-01-03,20200103,2.0
THU - EVE, 1/30/2020, ,2020-01-30,20200130,29.0
THU - MID, 1/30/2020, ,2020-01-30,20200130,29.0
FRI - MID, 1/31/2020, ,2020-01-31,20200131,30.0
FRI - EVE, 1/31/2020, ,2020-01-31,20200131,30.0
SAT - EVE, 1/4/2020, 1 11 21 25 54 +7 x2 $237.00 M/0,2020-01-04,20200104,3.0
SAT - MID, 1/4/2020, ,2020-01-04,20200104,3.0
SUN - EVE, 1/5/2020, ,2020-01-05,20200105,4.0
SUN - MID, 1/5/2020, ,2020-01-05,20200105,4.0
MON - EVE, 1/6/2020, ,2020-01-06,20200106,5.0
MON - MID, 1/6/2020, ,2020-01-06,20200106,5.0
TUE - MID, 1/7/2020, ,2020-01-07,20200107,6.0
TUE - EVE, 1/7/2020, ,2020-01-07,20200107,6.0
WED - EVE, 1/8/2020, 2 4 7 43 56 +22 x4 $258.00 M/0,2020-01-08,20200108,7.0
WED - MID, 1/8/2020, ,2020-01-08,20200108,7.0
THU - MID, 1/9/2020, ,2020-01-09,20200109,8.0
THU - EVE, 1/9/2020, ,2020-01-09,20200109,8.0
SAT - MID, 2/1/2020, ,2020-02-01,20200201,31.0
SAT - EVE, 2/1/2020, 12 33 54 57 60 +13 x4 $40.00 M/0,2020-02-01,20200201,31.0
MON - EVE, 2/10/2020, ,2020-02-10,20200210,40.0
MON - MID, 2/10/2020, ,2020-02-10,20200210,40.0
TUE - EVE, 2/11/2020, ,2020-02-11,20200211,41.0
TUE - MID, 2/11/2020, ,2020-02-11,20200211,41.0
WED - EVE, 2/12/2020, 14 47 54 55 68 +25 x2 $70.00 M/1,2020-02-12,20200212,42.0
WED - MID, 2/12/2020, ,2020-02-12,20200212,42.0
THU - EVE, 2/13/2020, ,2020-02-13,20200213,43.0
THU - MID, 2/13/2020, ,2020-02-13,20200213,43.0
FRI - EVE, 2/14/2020, ,2020-02-14,20200214,44.0
FRI - MID, 2/14/2020, ,2020-02-14,20200214,44.0
SAT - EVE, 2/15/2020, 16 32 35 36 46 +3 x3 $40.00 M/0,2020-02-15,20200215,45.0
SAT - MID, 2/15/2020, ,2020-02-15,20200215,45.0
SUN - MID, 2/16/2020, ,2020-02-16,20200216,46.0
SUN - EVE, 2/16/2020, ,2020-02-16,20200216,46.0
MON - EVE, 2/17/2020, ,2020-02-17,20200217,47.0
MON - MID, 2/17/2020, ,2020-02-17,20200217,47.0
TUE - EVE, 2/18/2020, ,2020-02-18,20200218,48.0
TUE - MID, 2/18/2020, ,2020-02-18,20200218,48.0
WED - EVE, 2/19/2020, 10 12 15 19 56 +19 x2 $50.00 M/0,2020-02-19,20200219,49.0
WED - MID, 2/19/2020, ,2020-02-19,20200219,49.0
SUN - MID, 2/2/2020, ,2020-02-02,20200202,32.0
SUN - EVE, 2/2/2020, ,2020-02-02,20200202,32.0
THU - MID, 2/20/2020, ,2020-02-20,20200220,50.0
THU - EVE, 2/20/2020, ,2020-02-20,20200220,50.0
FRI - EVE, 2/21/2020, ,2020-02-21,20200221,51.0
FRI - MID, 2/21/2020, ,2020-02-21,20200221,51.0
SAT - MID, 2/22/2020, ,2020-02-22,20200222,52.0
SAT - EVE, 2/22/2020, 25 37 39 61 62 +11 x3 $60.00 M/0,2020-02-22,20200222,52.0
SUN - MID, 2/23/2020, ,2020-02-23,20200223,53.0
SUN - EVE, 2/23/2020, ,2020-02-23,20200223,53.0
MON - MID, 2/24/2020, ,2020-02-24,20200224,54.0
MON - EVE, 2/24/2020, ,2020-02-24,20200224,54.0
TUE - MID, 2/25/2020, ,2020-02-25,20200225,55.0
TUE - EVE, 2/25/2020, ,2020-02-25,20200225,55.0
WED - MID, 2/26/2020, ,2020-02-26,20200226,56.0
WED - EVE, 2/26/2020, 8 27 29 36 47 +24 x3 $70.00 M/0,2020-02-26,20200226,56.0
THU - MID, 2/27/2020, ,2020-02-27,20200227,57.0
THU - EVE, 2/27/2020, ,2020-02-27,20200227,57.0
FRI - EVE, 2/28/2020, ,2020-02-28,20200228,58.0
FRI - MID, 2/28/2020, ,2020-02-28,20200228,58.0
SAT - EVE, 2/29/2020, 24 44 46 50 51 +13 x3 $80.00 M/0,2020-02-29,20200229,59.0
SAT - MID, 2/29/2020, ,2020-02-29,20200229,59.0
MON - MID, 2/3/2020, ,2020-02-03,20200203,33.0
MON - EVE, 2/3/2020, ,2020-02-03,20200203,33.0
TUE - MID, 2/4/2020, ,2020-02-04,20200204,34.0
TUE - EVE, 2/4/2020, ,2020-02-04,20200204,34.0
WED - MID, 2/5/2020, ,2020-02-05,20200205,35.0
WED - EVE, 2/5/2020, 23 30 35 41 57 +2 x3 $50.00 M/0,2020-02-05,20200205,35.0
THU - MID, 2/6/2020, ,2020-02-06,20200206,36.0
THU - EVE, 2/6/2020, ,2020-02-06,20200206,36.0
FRI - MID, 2/7/2020, ,2020-02-07,20200207,37.0
FRI - EVE, 2/7/2020, ,2020-02-07,20200207,37.0
SAT - MID, 2/8/2020, ,2020-02-08,20200208,38.0
SAT - EVE, 2/8/2020, 35 49 50 59 66 +6 x2 $60.00 M/0,2020-02-08,20200208,38.0
SUN - MID, 2/9/2020, ,2020-02-09,20200209,39.0
SUN - EVE, 2/9/2020, ,2020-02-09,20200209,39.0
SUN - MID, 3/1/2020, ,2020-03-01,20200301,60.0
SUN - EVE, 3/1/2020, ,2020-03-01,20200301,60.0
TUE - EVE, 3/10/2020, ,2020-03-10,20200310,69.0
TUE - MID, 3/10/2020, ,2020-03-10,20200310,69.0
WED - EVE, 3/11/2020, 4 29 49 50 67 +2 x4 $110.00 M/0,2020-03-11,20200311,70.0
WED - MID, 3/11/2020, ,2020-03-11,20200311,70.0
THU - MID, 3/12/2020, ,2020-03-12,20200312,71.0
THU - EVE, 3/12/2020, ,2020-03-12,20200312,71.0
FRI - EVE, 3/13/2020, ,2020-03-13,20200313,72.0
FRI - MID, 3/13/2020, ,2020-03-13,20200313,72.0
SAT - EVE, 3/14/2020, 9 23 26 30 32 +8 x3 $120.00 M/0,2020-03-14,20200314,73.0
SAT - MID, 3/14/2020, ,2020-03-14,20200314,73.0
SUN - EVE, 3/15/2020, ,2020-03-15,20200315,74.0
SUN - MID, 3/15/2020, ,2020-03-15,20200315,74.0
MON - EVE, 3/16/2020, ,2020-03-16,20200316,75.0
MON - MID, 3/16/2020, ,2020-03-16,20200316,75.0
TUE - EVE, 3/17/2020, ,2020-03-17,20200317,76.0
TUE - MID, 3/17/2020, ,2020-03-17,20200317,76.0
WED - EVE, 3/18/2020, 15 27 44 59 63 +8 x4 $130.00 M/0,2020-03-18,20200318,77.0
WED - MID, 3/18/2020, ,2020-03-18,20200318,77.0
THU - MID, 3/19/2020, ,2020-03-19,20200319,78.0
THU - EVE, 3/19/2020, ,2020-03-19,20200319,78.0
MON - EVE, 3/2/2020, ,2020-03-02,20200302,61.0
MON - MID, 3/2/2020, ,2020-03-02,20200302,61.0
FRI - EVE, 3/20/2020, ,2020-03-20,20200320,79.0
FRI - MID, 3/20/2020, ,2020-03-20,20200320,79.0
SAT - MID, 3/21/2020, ,2020-03-21,20200321,80.0
SAT - EVE, 3/21/2020, 2 23 40 59 69 +13 x2 $140.00 M/0,2020-03-21,20200321,80.0
SUN - MID, 3/22/2020, ,2020-03-22,20200322,81.0
SUN - EVE, 3/22/2020, ,2020-03-22,20200322,81.0
MON - MID, 3/23/2020, ,2020-03-23,20200323,82.0
MON - EVE, 3/23/2020, ,2020-03-23,20200323,82.0
TUE - MID, 3/24/2020, ,2020-03-24,20200324,83.0
TUE - EVE, 3/24/2020, ,2020-03-24,20200324,83.0
WED - MID, 3/25/2020, ,2020-03-25,20200325,84.0
WED - EVE, 3/25/2020, 5 9 27 39 42 +16 x2 $150.00 M/0,2020-03-25,20200325,84.0
THU - MID, 3/26/2020, ,2020-03-26,20200326,85.0
THU - EVE, 3/26/2020, ,2020-03-26,20200326,85.0
FRI - MID, 3/27/2020, ,2020-03-27,20200327,86.0
FRI - EVE, 3/27/2020, ,2020-03-27,20200327,86.0
SAT - EVE, 3/28/2020, 7 40 48 55 66 +11 x2 $160.00 M/0,2020-03-28,20200328,87.0
SAT - MID, 3/28/2020, ,2020-03-28,20200328,87.0
SUN - EVE, 3/29/2020, ,2020-03-29,20200329,88.0
SUN - MID, 3/29/2020, ,2020-03-29,20200329,88.0
TUE - EVE, 3/3/2020, ,2020-03-03,20200303,62.0
TUE - MID, 3/3/2020, ,2020-03-03,20200303,62.0
MON - MID, 3/30/2020, ,2020-03-30,20200330,89.0
MON - EVE, 3/30/2020, ,2020-03-30,20200330,89.0
TUE - MID, 3/31/2020, ,2020-03-31,20200331,90.0
TUE - EVE, 3/31/2020, ,2020-03-31,20200331,90.0
WED - EVE, 3/4/2020, 18 43 58 60 68 +14 x2 $90.00 M/0,2020-03-04,20200304,63.0
WED - MID, 3/4/2020, ,2020-03-04,20200304,63.0
THU - EVE, 3/5/2020, ,2020-03-05,20200305,64.0
THU - MID, 3/5/2020, ,2020-03-05,20200305,64.0
FRI - EVE, 3/6/2020, ,2020-03-06,20200306,65.0
FRI - MID, 3/6/2020, ,2020-03-06,20200306,65.0
SAT - MID, 3/7/2020, ,2020-03-07,20200307,66.0
SAT - EVE, 3/7/2020, 7 15 21 33 62 +23 x2 $100.00 M/0,2020-03-07,20200307,66.0
SUN - EVE, 3/8/2020, ,2020-03-08,20200308,67.0
SUN - MID, 3/8/2020, ,2020-03-08,20200308,67.0
MON - MID, 3/9/2020, ,2020-03-09,20200309,68.0
MON - EVE, 3/9/2020, ,2020-03-09,20200309,68.0
WED - MID, 4/1/2020, ,2020-04-01,20200401,91.0
WED - EVE, 4/1/2020, 33 35 45 48 60 +16 x2 $170.00 M/0,2020-04-01,20200401,91.0
THU - MID, 4/2/2020, ,2020-04-02,20200402,92.0
THU - EVE, 4/2/2020, ,2020-04-02,20200402,92.0
FRI - MID, 4/3/2020, ,2020-04-03,20200403,93.0
FRI - EVE, 4/3/2020, ,2020-04-03,20200403,93.0
