Day_Draw,Date,Pick3
THU - MID,2019-06-13,178
THU - EVE,2019-06-13,231
FRI - MID,2019-06-14,544
FRI - EVE,2019-06-14,305
SAT - MID,2019-06-15,55
SAT - EVE,2019-06-15,217
SUN - MID,2019-06-16,27
SUN - EVE,2019-06-16,794
MON - MID,2019-06-17,78
MON - EVE,2019-06-17,827
TUE - MID,2019-06-18,338
TUE - EVE,2019-06-18,104
WED - MID,2019-06-19,138
WED - EVE,2019-06-19,451
THU - MID,2019-06-20,581
THU - EVE,2019-06-20,465
FRI - MID,2019-06-21,795
FRI - EVE,2019-06-21,978
SAT - MID,2019-06-22,493
SAT - EVE,2019-06-22,218
SUN - MID,2019-06-23,119
SUN - EVE,2019-06-23,510
MON - MID,2019-06-24,983
MON - EVE,2019-06-24,627
TUE - MID,2019-06-25,718
TUE - EVE,2019-06-25,419
WED - MID,2019-06-26,350
WED - EVE,2019-06-26,659
THU - MID,2019-06-27,773
THU - EVE,2019-06-27,728
FRI - MID,2019-06-28,167
FRI - EVE,2019-06-28,284
SAT - MID,2019-06-29,180
SAT - EVE,2019-06-29,201
SUN - MID,2019-06-30,198
SUN - EVE,2019-06-30,55
MON - MID,2019-07-01,177
MON - EVE,2019-07-01,998
TUE - MID,2019-07-02,268
TUE - EVE,2019-07-02,760
WED - MID,2019-07-03,543
WED - EVE,2019-07-03,217
THU - MID,2019-07-04,475
THU - EVE,2019-07-04,605
FRI - MID,2019-07-05,74
FRI - EVE,2019-07-05,750
SAT - MID,2019-07-06,311
SAT - EVE,2019-07-06,85
SUN - MID,2019-07-07,174
SUN - EVE,2019-07-07,194
MON - MID,2019-07-08,175
MON - EVE,2019-07-08,245
TUE - MID,2019-07-09,816
TUE - EVE,2019-07-09,397
WED - MID,2019-07-10,553
WED - EVE,2019-07-10,17
THU - MID,2019-07-11,43
THU - EVE,2019-07-11,84
FRI - MID,2019-07-12,613
FRI - EVE,2019-07-12,544
SAT - MID,2019-07-13,703
SAT - EVE,2019-07-13,920
SUN - MID,2019-07-14,801
SUN - EVE,2019-07-14,154
MON - MID,2019-07-15,190
MON - EVE,2019-07-15,769
TUE - MID,2019-07-16,198
TUE - EVE,2019-07-16,345
WED - MID,2019-07-17,282
WED - EVE,2019-07-17,214
THU - MID,2019-07-18,269
THU - EVE,2019-07-18,708
FRI - MID,2019-07-19,113
FRI - EVE,2019-07-19,70
SAT - MID,2019-07-20,711
SAT - EVE,2019-07-20,832
SUN - MID,2019-07-21,876
SUN - EVE,2019-07-21,621
MON - MID,2019-07-22,218
MON - EVE,2019-07-22,127
TUE - MID,2019-07-23,891
TUE - EVE,2019-07-23,198
WED - MID,2019-07-24,589
WED - EVE,2019-07-24,447
THU - MID,2019-07-25,241
THU - EVE,2019-07-25,964
FRI - MID,2019-07-26,947
FRI - EVE,2019-07-26,240
SAT - MID,2019-07-27,983
SAT - EVE,2019-07-27,510
SUN - MID,2019-07-28,142
SUN - EVE,2019-07-28,83
MON - MID,2019-07-29,369
MON - EVE,2019-07-29,673
TUE - MID,2019-07-30,546
TUE - EVE,2019-07-30,431
WED - MID,2019-07-31,342
WED - EVE,2019-07-31,397
THU - MID,2019-08-01,125
THU - EVE,2019-08-01,254
FRI - MID,2019-08-02,279
FRI - EVE,2019-08-02,493
SAT - MID,2019-08-03,986
SAT - EVE,2019-08-03,189
SUN - MID,2019-08-04,382
SUN - EVE,2019-08-04,785
MON - MID,2019-08-05,46
MON - EVE,2019-08-05,342
TUE - MID,2019-08-06,738
TUE - EVE,2019-08-06,817
WED - MID,2019-08-07,430
WED - EVE,2019-08-07,173
THU - MID,2019-08-08,392
THU - EVE,2019-08-08,156
FRI - MID,2019-08-09,448
FRI - EVE,2019-08-09,818
SAT - MID,2019-08-10,130
SAT - EVE,2019-08-10,270
SUN - MID,2019-08-11,926
SUN - EVE,2019-08-11,896
MON - MID,2019-08-12,905
MON - EVE,2019-08-12,111
TUE - MID,2019-08-13,704
TUE - EVE,2019-08-13,949
WED - MID,2019-08-14,912
WED - EVE,2019-08-14,107
THU - MID,2019-08-15,261
THU - EVE,2019-08-15,509
FRI - MID,2019-08-16,823
FRI - EVE,2019-08-16,290
SAT - MID,2019-08-17,499
SAT - EVE,2019-08-17,143
SUN - MID,2019-08-18,585
SUN - EVE,2019-08-18,485
MON - MID,2019-08-19,960
MON - EVE,2019-08-19,475
TUE - MID,2019-08-20,51
TUE - EVE,2019-08-20,3
WED - MID,2019-08-21,325
WED - EVE,2019-08-21,679
THU - MID,2019-08-22,658
THU - EVE,2019-08-22,789
FRI - MID,2019-08-23,604
FRI - EVE,2019-08-23,329
SAT - MID,2019-08-24,222
SAT - EVE,2019-08-24,385
SUN - MID,2019-08-25,715
SUN - EVE,2019-08-25,285
MON - MID,2019-08-26,351
MON - EVE,2019-08-26,426
TUE - MID,2019-08-27,10
TUE - EVE,2019-08-27,854
WED - MID,2019-08-28,510
WED - EVE,2019-08-28,52
THU - MID,2019-08-29,455
THU - EVE,2019-08-29,954
FRI - MID,2019-08-30,84
FRI - EVE,2019-08-30,793
SAT - MID,2019-08-31,956
SAT - EVE,2019-08-31,76
SUN - MID,2019-09-01,790
SUN - EVE,2019-09-01,4
MON - MID,2019-09-02,212
MON - EVE,2019-09-02,722
TUE - MID,2019-09-03,716
TUE - EVE,2019-09-03,120
WED - MID,2019-09-04,362
WED - EVE,2019-09-04,988
THU - MID,2019-09-05,448
THU - EVE,2019-09-05,210
FRI - MID,2019-09-06,76
FRI - EVE,2019-09-06,785
SAT - MID,2019-09-07,6
SAT - EVE,2019-09-07,146
SUN - MID,2019-09-08,820
SUN - EVE,2019-09-08,406
MON - MID,2019-09-09,855
MON - EVE,2019-09-09,362
TUE - MID,2019-09-10,663
TUE - EVE,2019-09-10,66
WED - MID,2019-09-11,216
WED - EVE,2019-09-11,41
THU - MID,2019-09-12,190
THU - EVE,2019-09-12,151
FRI - MID,2019-09-13,900
FRI - EVE,2019-09-13,497
SAT - MID,2019-09-14,579
SAT - EVE,2019-09-14,154
SUN - MID,2019-09-15,801
SUN - EVE,2019-09-15,742
MON - MID,2019-09-16,191
MON - EVE,2019-09-16,536
TUE - MID,2019-09-17,947
TUE - EVE,2019-09-17,882
WED - MID,2019-09-18,325
WED - EVE,2019-09-18,985
THU - MID,2019-09-19,390
THU - EVE,2019-09-19,150
FRI - MID,2019-09-20,507
FRI - EVE,2019-09-20,831
SAT - MID,2019-09-21,50
SAT - EVE,2019-09-21,618
SUN - MID,2019-09-22,591
SUN - EVE,2019-09-22,968
MON - MID,2019-09-23,0
MON - EVE,2019-09-23,531
TUE - MID,2019-09-24,908
TUE - EVE,2019-09-24,607
WED - MID,2019-09-25,48
WED - EVE,2019-09-25,901
THU - MID,2019-09-26,103
THU - EVE,2019-09-26,272
FRI - MID,2019-09-27,434
FRI - EVE,2019-09-27,891
SAT - MID,2019-09-28,688
SAT - EVE,2019-09-28,624
SUN - MID,2019-09-29,469
SUN - EVE,2019-09-29,832
MON - MID,2019-09-30,577
MON - EVE,2019-09-30,185
TUE - MID,2019-10-01,513
TUE - EVE,2019-10-01,127
WED - MID,2019-10-02,675
WED - EVE,2019-10-02,477
THU - MID,2019-10-03,87
THU - EVE,2019-10-03,444
FRI - MID,2019-10-04,360
FRI - EVE,2019-10-04,895
SAT - MID,2019-10-05,609
SAT - EVE,2019-10-05,354
SUN - MID,2019-10-06,20
SUN - EVE,2019-10-06,104
MON - MID,2019-10-07,669
MON - EVE,2019-10-07,664
TUE - MID,2019-10-08,629
TUE - EVE,2019-10-08,584
WED - MID,2019-10-09,528
WED - EVE,2019-10-09,810
THU - MID,2019-10-10,235
THU - EVE,2019-10-10,62
FRI - MID,2019-10-11,820
FRI - EVE,2019-10-11,627
SAT - MID,2019-10-12,853
SAT - EVE,2019-10-12,935
SUN - MID,2019-10-13,593
SUN - EVE,2019-10-13,519
MON - MID,2019-10-14,290
MON - EVE,2019-10-14,168
TUE - MID,2019-10-15,716
TUE - EVE,2019-10-15,656
WED - MID,2019-10-16,695
WED - EVE,2019-10-16,360
THU - MID,2019-10-17,519
THU - EVE,2019-10-17,144
FRI - MID,2019-10-18,638
FRI - EVE,2019-10-18,711
SAT - MID,2019-10-19,87
SAT - EVE,2019-10-19,812
SUN - MID,2019-10-20,444
SUN - EVE,2019-10-20,895
MON - MID,2019-10-21,41
MON - EVE,2019-10-21,381
TUE - MID,2019-10-22,500
TUE - EVE,2019-10-22,984
WED - MID,2019-10-23,787
WED - EVE,2019-10-23,663
THU - MID,2019-10-24,260
THU - EVE,2019-10-24,151
FRI - MID,2019-10-25,920
FRI - EVE,2019-10-25,630
SAT - MID,2019-10-26,104
SAT - EVE,2019-10-26,561
SUN - MID,2019-10-27,777
SUN - EVE,2019-10-27,716
MON - MID,2019-10-28,852
MON - EVE,2019-10-28,910
TUE - MID,2019-10-29,221
TUE - EVE,2019-10-29,204
WED - MID,2019-10-30,600
WED - EVE,2019-10-30,944
THU - MID,2019-10-31,90
THU - EVE,2019-10-31,931
FRI - MID,2019-11-01,908
FRI - EVE,2019-11-01,978
SAT - MID,2019-11-02,201
SAT - EVE,2019-11-02,65
SUN - MID,2019-11-03,115
SUN - EVE,2019-11-03,837
MON - MID,2019-11-04,597
MON - EVE,2019-11-04,614
TUE - MID,2019-11-05,581
TUE - EVE,2019-11-05,206
WED - MID,2019-11-06,942
WED - EVE,2019-11-06,654
THU - MID,2019-11-07,575
THU - EVE,2019-11-07,376
FRI - MID,2019-11-08,698
FRI - EVE,2019-11-08,322
SAT - MID,2019-11-09,293
SAT - EVE,2019-11-09,421
SUN - MID,2019-11-10,612
SUN - EVE,2019-11-10,368
MON - MID,2019-11-11,211
MON - EVE,2019-11-11,45
TUE - MID,2019-11-12,128
TUE - EVE,2019-11-12,376
WED - MID,2019-11-13,261
WED - EVE,2019-11-13,135
THU - MID,2019-11-14,581
THU - EVE,2019-11-14,243
FRI - MID,2019-11-15,13
FRI - EVE,2019-11-15,531
SAT - MID,2019-11-16,440
SAT - EVE,2019-11-16,136
SUN - MID,2019-11-17,736
SUN - EVE,2019-11-17,380
MON - MID,2019-11-18,443
MON - EVE,2019-11-18,330
TUE - MID,2019-11-19,630
TUE - EVE,2019-11-19,437
WED - MID,2019-11-20,779
WED - EVE,2019-11-20,546
THU - MID,2019-11-21,904
THU - EVE,2019-11-21,361
FRI - MID,2019-11-22,375
FRI - EVE,2019-11-22,17
SAT - MID,2019-11-23,328
SAT - EVE,2019-11-23,790
SUN - MID,2019-11-24,167
SUN - EVE,2019-11-24,568
MON - MID,2019-11-25,904
MON - EVE,2019-11-25,971
TUE - MID,2019-11-26,948
TUE - EVE,2019-11-26,775
WED - MID,2019-11-27,33
WED - EVE,2019-11-27,114
THU - MID,2019-11-28,48
THU - EVE,2019-11-28,189
FRI - MID,2019-11-29,376
FRI - EVE,2019-11-29,811
SAT - MID,2019-11-30,222
SAT - EVE,2019-11-30,686
SUN - MID,2019-12-01,111
SUN - EVE,2019-12-01,643
MON - MID,2019-12-02,984
MON - EVE,2019-12-02,874
TUE - MID,2019-12-03,810
TUE - EVE,2019-12-03,101
WED - MID,2019-12-04,804
WED - EVE,2019-12-04,701
THU - MID,2019-12-05,781
THU - EVE,2019-12-05,661
FRI - MID,2019-12-06,616
FRI - EVE,2019-12-06,452
SAT - MID,2019-12-07,425
SAT - EVE,2019-12-07,20
SUN - MID,2019-12-08,879
SUN - EVE,2019-12-08,117
MON - MID,2019-12-09,813
MON - EVE,2019-12-09,31
TUE - MID,2019-12-10,394
TUE - EVE,2019-12-10,525
WED - MID,2019-12-11,280
WED - EVE,2019-12-11,550
THU - MID,2019-12-12,642
THU - EVE,2019-12-12,812
FRI - MID,2019-12-13,472
FRI - EVE,2019-12-13,488
SAT - MID,2019-12-14,988
SAT - EVE,2019-12-14,125
SUN - MID,2019-12-15,254
SUN - EVE,2019-12-15,363
MON - MID,2019-12-16,273
MON - EVE,2019-12-16,108
TUE - MID,2019-12-17,991
TUE - EVE,2019-12-17,592
WED - MID,2019-12-18,906
WED - EVE,2019-12-18,793
THU - MID,2019-12-19,854
THU - EVE,2019-12-19,350
FRI - MID,2019-12-20,750
FRI - EVE,2019-12-20,605
SAT - MID,2019-12-21,642
SAT - EVE,2019-12-21,74
SUN - MID,2019-12-22,76
SUN - EVE,2019-12-22,988
MON - MID,2019-12-23,422
MON - EVE,2019-12-23,83
TUE - MID,2019-12-24,821
TUE - EVE,2019-12-24,176
WED - MID,2019-12-25,720
WED - EVE,2019-12-25,813
THU - MID,2019-12-26,130
THU - EVE,2019-12-26,658
FRI - MID,2019-12-27,867
FRI - EVE,2019-12-27,76
SAT - MID,2019-12-28,785
SAT - EVE,2019-12-28,111
SUN - MID,2019-12-29,172
SUN - EVE,2019-12-29,219
MON - MID,2019-12-30,354
MON - EVE,2019-12-30,655
TUE - MID,2019-12-31,699
TUE - EVE,2019-12-31,257
MON - MID,2018-01-01,164
MON - EVE,2018-01-01,95
TUE - MID,2018-01-02,685
TUE - EVE,2018-01-02,292
WED - MID,2018-01-03,790
WED - EVE,2018-01-03,587
THU - MID,2018-01-04,16
THU - EVE,2018-01-04,123
FRI - MID,2018-01-05,655
FRI - EVE,2018-01-05,999
SAT - MID,2018-01-06,396
SAT - EVE,2018-01-06,952
SUN - MID,2018-01-07,984
SUN - EVE,2018-01-07,561
MON - MID,2018-01-08,710
MON - EVE,2018-01-08,773
TUE - MID,2018-01-09,971
TUE - EVE,2018-01-09,912
WED - MID,2018-01-10,406
WED - EVE,2018-01-10,13
THU - MID,2018-01-11,906
THU - EVE,2018-01-11,985
FRI - MID,2018-01-12,742
FRI - EVE,2018-01-12,29
SAT - MID,2018-01-13,57
SAT - EVE,2018-01-13,147
SUN - MID,2018-01-14,677
SUN - EVE,2018-01-14,479
MON - MID,2018-01-15,372
MON - EVE,2018-01-15,672
TUE - MID,2018-01-16,385
TUE - EVE,2018-01-16,514
WED - MID,2018-01-17,581
WED - EVE,2018-01-17,975
THU - MID,2018-01-18,799
THU - EVE,2018-01-18,224
FRI - MID,2018-01-19,512
FRI - EVE,2018-01-19,156
SAT - MID,2018-01-20,9
SAT - EVE,2018-01-20,595
SUN - MID,2018-01-21,609
SUN - EVE,2018-01-21,406
MON - MID,2018-01-22,866
MON - EVE,2018-01-22,447
TUE - MID,2018-01-23,352
TUE - EVE,2018-01-23,15
WED - MID,2018-01-24,908
WED - EVE,2018-01-24,623
THU - MID,2018-01-25,254
THU - EVE,2018-01-25,767
FRI - MID,2018-01-26,660
FRI - EVE,2018-01-26,997
SAT - MID,2018-01-27,821
SAT - EVE,2018-01-27,563
SUN - MID,2018-01-28,249
SUN - EVE,2018-01-28,719
MON - MID,2018-01-29,349
MON - EVE,2018-01-29,762
TUE - MID,2018-01-30,35
TUE - EVE,2018-01-30,206
WED - MID,2018-01-31,226
WED - EVE,2018-01-31,875
THU - MID,2018-02-01,219
THU - EVE,2018-02-01,365
FRI - MID,2018-02-02,746
FRI - EVE,2018-02-02,581
SAT - MID,2018-02-03,947
SAT - EVE,2018-02-03,441
SUN - MID,2018-02-04,379
SUN - EVE,2018-02-04,65
MON - MID,2018-02-05,338
MON - EVE,2018-02-05,970
TUE - MID,2018-02-06,913
TUE - EVE,2018-02-06,643
WED - MID,2018-02-07,633
WED - EVE,2018-02-07,856
THU - MID,2018-02-08,94
THU - EVE,2018-02-08,74
FRI - MID,2018-02-09,394
FRI - EVE,2018-02-09,61
SAT - MID,2018-02-10,599
SAT - EVE,2018-02-10,254
SUN - MID,2018-02-11,930
SUN - EVE,2018-02-11,341
MON - MID,2018-02-12,466
MON - EVE,2018-02-12,611
TUE - MID,2018-02-13,891
TUE - EVE,2018-02-13,834
WED - MID,2018-02-14,245
WED - EVE,2018-02-14,871
THU - MID,2018-02-15,651
THU - EVE,2018-02-15,135
FRI - MID,2018-02-16,939
FRI - EVE,2018-02-16,274
SAT - MID,2018-02-17,711
SAT - EVE,2018-02-17,328
SUN - MID,2018-02-18,603
SUN - EVE,2018-02-18,157
MON - MID,2018-02-19,587
MON - EVE,2018-02-19,294
TUE - MID,2018-02-20,166
TUE - EVE,2018-02-20,767
WED - MID,2018-02-21,529
WED - EVE,2018-02-21,924
THU - MID,2018-02-22,60
THU - EVE,2018-02-22,98
FRI - MID,2018-02-23,591
FRI - EVE,2018-02-23,812
SAT - MID,2018-02-24,622
SAT - EVE,2018-02-24,748
SUN - MID,2018-02-25,999
SUN - EVE,2018-02-25,239
MON - MID,2018-02-26,584
MON - EVE,2018-02-26,266
TUE - MID,2018-02-27,958
TUE - EVE,2018-02-27,937
WED - MID,2018-02-28,641
WED - EVE,2018-02-28,5
THU - MID,2018-03-01,812
THU - EVE,2018-03-01,814
FRI - MID,2018-03-02,272
FRI - EVE,2018-03-02,8
SAT - MID,2018-03-03,562
SAT - EVE,2018-03-03,289
SUN - MID,2018-03-04,244
SUN - EVE,2018-03-04,194
MON - MID,2018-03-05,91
MON - EVE,2018-03-05,7
TUE - MID,2018-03-06,644
TUE - EVE,2018-03-06,293
WED - MID,2018-03-07,804
WED - EVE,2018-03-07,8
THU - MID,2018-03-08,85
THU - EVE,2018-03-08,470
FRI - MID,2018-03-09,492
FRI - EVE,2018-03-09,351
SAT - MID,2018-03-10,461
SAT - EVE,2018-03-10,729
SUN - MID,2018-03-11,749
