Draw,Date,Pick3
1,2019-03-27,57
0,2019-03-28,493
1,2019-03-28,113
0,2019-03-29,809
1,2019-03-29,207
0,2019-03-30,283
1,2019-03-30,574
0,2019-03-31,397
1,2019-03-31,190
0,2019-04-01,575
1,2019-04-01,674
0,2019-04-02,345
1,2019-04-02,471
0,2019-04-03,511
1,2019-04-03,902
0,2019-04-04,656
1,2019-04-04,603
0,2019-04-05,935
1,2019-04-05,213
0,2019-04-06,578
1,2019-04-06,912
0,2019-04-07,943
1,2019-04-07,64
0,2019-04-08,90
1,2019-04-08,322
0,2019-04-09,95
1,2019-04-09,765
0,2019-04-10,983
1,2019-04-10,423
0,2019-04-11,807
1,2019-04-11,176
0,2019-04-12,130
1,2019-04-12,547
0,2019-04-13,86
1,2019-04-13,554
0,2019-04-14,683
1,2019-04-14,888
0,2019-04-15,508
1,2019-04-15,583
0,2019-04-16,587
1,2019-04-16,722
0,2019-04-17,560
1,2019-04-17,575
0,2019-04-18,904
1,2019-04-18,161
0,2019-04-19,586
1,2019-04-19,290
0,2019-04-20,923
1,2019-04-20,193
0,2019-04-21,261
1,2019-04-21,557
0,2019-04-22,742
1,2019-04-22,99
0,2019-04-23,965
1,2019-04-23,137
0,2019-04-24,307
1,2019-04-24,584
0,2019-04-25,394
1,2019-04-25,530
0,2019-04-26,593
1,2019-04-26,32
0,2019-04-27,568
1,2019-04-27,8
0,2019-04-28,508
1,2019-04-28,813
0,2019-04-29,167
1,2019-04-29,358
0,2019-04-30,507
1,2019-04-30,885
0,2019-05-01,358
1,2019-05-01,604
0,2019-05-02,162
1,2019-05-02,868
0,2019-05-03,56
1,2019-05-03,417
0,2019-05-04,161
1,2019-05-04,247
0,2019-05-05,510
1,2019-05-05,804
0,2019-05-06,551
1,2019-05-06,889
0,2019-05-07,235
1,2019-05-07,331
0,2019-05-08,403
1,2019-05-08,7
0,2019-05-09,970
1,2019-05-09,720
0,2019-05-10,95
1,2019-05-10,235
0,2019-05-11,420
1,2019-05-11,934
0,2019-05-12,28
1,2019-05-12,224
0,2019-05-13,891
1,2019-05-13,125
0,2019-05-14,155
1,2019-05-14,48
0,2019-05-15,586
1,2019-05-15,790
0,2019-05-16,977
1,2019-05-16,52
0,2019-05-17,38
1,2019-05-17,972
0,2019-05-18,224
1,2019-05-18,231
0,2019-05-19,178
1,2019-05-19,695
0,2019-05-20,893
1,2019-05-20,731
0,2019-05-21,735
1,2019-05-21,987
0,2019-05-22,920
1,2019-05-22,290
0,2019-05-23,854
1,2019-05-23,445
0,2019-05-24,969
1,2019-05-24,333
0,2019-05-25,265
1,2019-05-25,731
0,2019-05-26,744
1,2019-05-26,825
0,2019-05-27,366
1,2019-05-27,775
0,2019-05-28,834
1,2019-05-28,343
0,2019-05-29,626
1,2019-05-29,322
0,2019-05-30,31
1,2019-05-30,958
0,2019-05-31,866
1,2019-05-31,286
0,2019-06-01,793
1,2019-06-01,713
0,2019-06-02,335
1,2019-06-02,310
0,2019-06-03,131
1,2019-06-03,75
0,2019-06-04,446
1,2019-06-04,706
0,2019-06-05,96
1,2019-06-05,497
0,2019-06-06,343
1,2019-06-06,96
0,2019-06-07,92
1,2019-06-07,274
0,2019-06-08,339
1,2019-06-08,180
0,2019-06-09,221
1,2019-06-09,505
0,2019-06-10,6
1,2019-06-10,721
0,2019-06-11,22
1,2019-06-11,934
0,2019-06-12,737
1,2019-06-12,150
0,2019-06-13,178
1,2019-06-13,231
0,2019-06-14,544
1,2019-06-14,305
0,2019-06-15,55
1,2019-06-15,217
0,2019-06-16,27
1,2019-06-16,794
0,2019-06-17,78
1,2019-06-17,827
0,2019-06-18,338
1,2019-06-18,104
0,2019-06-19,138
1,2019-06-19,451
0,2019-06-20,581
1,2019-06-20,465
0,2019-06-21,795
1,2019-06-21,978
0,2019-06-22,493
1,2019-06-22,218
0,2019-06-23,119
1,2019-06-23,510
0,2019-06-24,983
1,2019-06-24,627
0,2019-06-25,718
1,2019-06-25,419
0,2019-06-26,350
1,2019-06-26,659
0,2019-06-27,773
1,2019-06-27,728
0,2019-06-28,167
1,2019-06-28,284
0,2019-06-29,180
1,2019-06-29,201
0,2019-06-30,198
1,2019-06-30,55
0,2019-07-01,177
1,2019-07-01,998
0,2019-07-02,268
1,2019-07-02,760
0,2019-07-03,543
1,2019-07-03,217
0,2019-07-04,475
1,2019-07-04,605
0,2019-07-05,74
1,2019-07-05,750
0,2019-07-06,311
1,2019-07-06,85
0,2019-07-07,174
1,2019-07-07,194
0,2019-07-08,175
1,2019-07-08,245
0,2019-07-09,816
1,2019-07-09,397
0,2019-07-10,553
1,2019-07-10,17
0,2019-07-11,43
1,2019-07-11,84
0,2019-07-12,613
1,2019-07-12,544
0,2019-07-13,703
1,2019-07-13,920
0,2019-07-14,801
1,2019-07-14,154
0,2019-07-15,190
1,2019-07-15,769
0,2019-07-16,198
1,2019-07-16,345
0,2019-07-17,282
1,2019-07-17,214
0,2019-07-18,269
1,2019-07-18,708
0,2019-07-19,113
1,2019-07-19,70
0,2019-07-20,711
1,2019-07-20,832
0,2019-07-21,876
1,2019-07-21,621
0,2019-07-22,218
1,2019-07-22,127
0,2019-07-23,891
1,2019-07-23,198
0,2019-07-24,589
1,2019-07-24,447
0,2019-07-25,241
1,2019-07-25,964
0,2019-07-26,947
1,2019-07-26,240
0,2019-07-27,983
1,2019-07-27,510
0,2019-07-28,142
1,2019-07-28,83
0,2019-07-29,369
1,2019-07-29,673
0,2019-07-30,546
1,2019-07-30,431
0,2019-07-31,342
1,2019-07-31,397
0,2019-08-01,125
1,2019-08-01,254
0,2019-08-02,279
1,2019-08-02,493
0,2019-08-03,986
1,2019-08-03,189
0,2019-08-04,382
1,2019-08-04,785
0,2019-08-05,46
1,2019-08-05,342
0,2019-08-06,738
1,2019-08-06,817
0,2019-08-07,430
1,2019-08-07,173
0,2019-08-08,392
1,2019-08-08,156
0,2019-08-09,448
1,2019-08-09,818
0,2019-08-10,130
1,2019-08-10,270
0,2019-08-11,926
1,2019-08-11,896
0,2019-08-12,905
1,2019-08-12,111
0,2019-08-13,704
1,2019-08-13,949
0,2019-08-14,912
1,2019-08-14,107
0,2019-08-15,261
1,2019-08-15,509
0,2019-08-16,823
1,2019-08-16,290
0,2019-08-17,499
1,2019-08-17,143
0,2019-08-18,585
1,2019-08-18,485
0,2019-08-19,960
1,2019-08-19,475
0,2019-08-20,51
1,2019-08-20,3
0,2019-08-21,325
1,2019-08-21,679
0,2019-08-22,658
1,2019-08-22,789
0,2019-08-23,604
1,2019-08-23,329
0,2019-08-24,222
1,2019-08-24,385
0,2019-08-25,715
1,2019-08-25,285
0,2019-08-26,351
1,2019-08-26,426
0,2019-08-27,10
1,2019-08-27,854
0,2019-08-28,510
1,2019-08-28,52
0,2019-08-29,455
1,2019-08-29,954
0,2019-08-30,84
1,2019-08-30,793
0,2019-08-31,956
1,2019-08-31,76
0,2019-09-01,790
1,2019-09-01,4
0,2019-09-02,212
1,2019-09-02,722
0,2019-09-03,716
1,2019-09-03,120
0,2019-09-04,362
1,2019-09-04,988
0,2019-09-05,448
1,2019-09-05,210
0,2019-09-06,76
1,2019-09-06,785
0,2019-09-07,6
1,2019-09-07,146
0,2019-09-08,820
1,2019-09-08,406
0,2019-09-09,855
1,2019-09-09,362
0,2019-09-10,663
1,2019-09-10,66
0,2019-09-11,216
1,2019-09-11,41
0,2019-09-12,190
1,2019-09-12,151
0,2019-09-13,900
1,2019-09-13,497
0,2019-09-14,579
1,2019-09-14,154
0,2019-09-15,801
1,2019-09-15,742
0,2019-09-16,191
1,2019-09-16,536
0,2019-09-17,947
1,2019-09-17,882
0,2019-09-18,325
1,2019-09-18,985
0,2019-09-19,390
1,2019-09-19,150
0,2019-09-20,507
1,2019-09-20,831
0,2019-09-21,50
1,2019-09-21,618
0,2019-09-22,591
1,2019-09-22,968
0,2019-09-23,0
1,2019-09-23,531
0,2019-09-24,908
1,2019-09-24,607
0,2019-09-25,48
1,2019-09-25,901
0,2019-09-26,103
1,2019-09-26,272
0,2019-09-27,434
1,2019-09-27,891
0,2019-09-28,688
1,2019-09-28,624
0,2019-09-29,469
1,2019-09-29,832
0,2019-09-30,577
1,2019-09-30,185
0,2019-10-01,513
1,2019-10-01,127
0,2019-10-02,675
1,2019-10-02,477
0,2019-10-03,87
1,2019-10-03,444
0,2019-10-04,360
1,2019-10-04,895
0,2019-10-05,609
1,2019-10-05,354
0,2019-10-06,20
1,2019-10-06,104
0,2019-10-07,669
1,2019-10-07,664
0,2019-10-08,629
1,2019-10-08,584
0,2019-10-09,528
1,2019-10-09,810
0,2019-10-10,235
1,2019-10-10,62
0,2019-10-11,820
1,2019-10-11,627
0,2019-10-12,853
1,2019-10-12,935
0,2019-10-13,593
1,2019-10-13,519
0,2019-10-14,290
1,2019-10-14,168
0,2019-10-15,716
1,2019-10-15,656
0,2019-10-16,695
1,2019-10-16,360
0,2019-10-17,519
1,2019-10-17,144
0,2019-10-18,638
1,2019-10-18,711
0,2019-10-19,87
1,2019-10-19,812
0,2019-10-20,444
1,2019-10-20,895
0,2019-10-21,41
1,2019-10-21,381
0,2019-10-22,500
1,2019-10-22,984
0,2019-10-23,787
1,2019-10-23,663
0,2019-10-24,260
1,2019-10-24,151
0,2019-10-25,920
1,2019-10-25,630
0,2019-10-26,104
1,2019-10-26,561
0,2019-10-27,777
1,2019-10-27,716
0,2019-10-28,852
1,2019-10-28,910
0,2019-10-29,221
1,2019-10-29,204
0,2019-10-30,600
1,2019-10-30,944
0,2019-10-31,90
1,2019-10-31,931
0,2019-11-01,908
1,2019-11-01,978
0,2019-11-02,201
1,2019-11-02,65
0,2019-11-03,115
1,2019-11-03,837
0,2019-11-04,597
1,2019-11-04,614
0,2019-11-05,581
1,2019-11-05,206
0,2019-11-06,942
1,2019-11-06,654
0,2019-11-07,575
1,2019-11-07,376
0,2019-11-08,698
1,2019-11-08,322
0,2019-11-09,293
1,2019-11-09,421
0,2019-11-10,612
1,2019-11-10,368
0,2019-11-11,211
1,2019-11-11,45
0,2019-11-12,128
1,2019-11-12,376
0,2019-11-13,261
1,2019-11-13,135
0,2019-11-14,581
1,2019-11-14,243
0,2019-11-15,13
1,2019-11-15,531
0,2019-11-16,440
1,2019-11-16,136
0,2019-11-17,736
1,2019-11-17,380
0,2019-11-18,443
1,2019-11-18,330
0,2019-11-19,630
1,2019-11-19,437
0,2019-11-20,779
1,2019-11-20,546
0,2019-11-21,904
1,2019-11-21,361
0,2019-11-22,375
1,2019-11-22,17
0,2019-11-23,328
1,2019-11-23,790
0,2019-11-24,167
1,2019-11-24,568
0,2019-11-25,904
1,2019-11-25,971
0,2019-11-26,948
1,2019-11-26,775
0,2019-11-27,33
1,2019-11-27,114
0,2019-11-28,48
1,2019-11-28,189
0,2019-11-29,376
1,2019-11-29,811
0,2019-11-30,222
1,2019-11-30,686
0,2019-12-01,111
1,2019-12-01,643
0,2019-12-02,984
1,2019-12-02,874
0,2019-12-03,810
1,2019-12-03,101
0,2019-12-04,804
1,2019-12-04,701
0,2019-12-05,781
1,2019-12-05,661
0,2019-12-06,616
1,2019-12-06,452
0,2019-12-07,425
1,2019-12-07,20
0,2019-12-08,879
1,2019-12-08,117
0,2019-12-09,813
1,2019-12-09,31
0,2019-12-10,394
1,2019-12-10,525
0,2019-12-11,280
1,2019-12-11,550
0,2019-12-12,642
1,2019-12-12,812
0,2019-12-13,472
1,2019-12-13,488
0,2019-12-14,988
1,2019-12-14,125
0,2019-12-15,254
1,2019-12-15,363
0,2019-12-16,273
1,2019-12-16,108
0,2019-12-17,991
1,2019-12-17,592
0,2019-12-18,906
1,2019-12-18,793
0,2019-12-19,854
1,2019-12-19,350
0,2019-12-20,750
1,2019-12-20,605
0,2019-12-21,642
1,2019-12-21,74
0,2019-12-22,76
1,2019-12-22,988
0,2019-12-23,422
1,2019-12-23,83
0,2019-12-24,821
1,2019-12-24,176
0,2019-12-25,720
1,2019-12-25,813
0,2019-12-26,130
1,2019-12-26,658
0,2019-12-27,867
1,2019-12-27,76
0,2019-12-28,785
1,2019-12-28,111
0,2019-12-29,172
1,2019-12-29,219
0,2019-12-30,354
1,2019-12-30,655
0,2019-12-31,699
1,2019-12-31,257
0,2018-01-01,164
1,2018-01-01,95
0,2018-01-02,685
1,2018-01-02,292
0,2018-01-03,790
1,2018-01-03,587
0,2018-01-04,16
1,2018-01-04,123
0,2018-01-05,655
1,2018-01-05,999
0,2018-01-06,396
1,2018-01-06,952
0,2018-01-07,984
1,2018-01-07,561
0,2018-01-08,710
1,2018-01-08,773
0,2018-01-09,971
1,2018-01-09,912
0,2018-01-10,406
1,2018-01-10,13
0,2018-01-11,906
1,2018-01-11,985
0,2018-01-12,742
1,2018-01-12,29
0,2018-01-13,57
1,2018-01-13,147
0,2018-01-14,677
1,2018-01-14,479
0,2018-01-15,372
1,2018-01-15,672
0,2018-01-16,385
1,2018-01-16,514
0,2018-01-17,581
1,2018-01-17,975
0,2018-01-18,799
1,2018-01-18,224
0,2018-01-19,512
1,2018-01-19,156
0,2018-01-20,9
1,2018-01-20,595
0,2018-01-21,609
1,2018-01-21,406
0,2018-01-22,866
1,2018-01-22,447
0,2018-01-23,352
1,2018-01-23,15
0,2018-01-24,908
1,2018-01-24,623
0,2018-01-25,254
1,2018-01-25,767
0,2018-01-26,660
1,2018-01-26,997
0,2018-01-27,821
1,2018-01-27,563
0,2018-01-28,249
1,2018-01-28,719
0,2018-01-29,349
1,2018-01-29,762
0,2018-01-30,35
1,2018-01-30,206
0,2018-01-31,226
1,2018-01-31,875
0,2018-02-01,219
1,2018-02-01,365
0,2018-02-02,746
1,2018-02-02,581
0,2018-02-03,947
1,2018-02-03,441
0,2018-02-04,379
1,2018-02-04,65
0,2018-02-05,338
1,2018-02-05,970
0,2018-02-06,913
1,2018-02-06,643
0,2018-02-07,633
1,2018-02-07,856
0,2018-02-08,94
1,2018-02-08,74
0,2018-02-09,394
1,2018-02-09,61
0,2018-02-10,599
1,2018-02-10,254
0,2018-02-11,930
1,2018-02-11,341
0,2018-02-12,466
1,2018-02-12,611
0,2018-02-13,891
1,2018-02-13,834
0,2018-02-14,245
1,2018-02-14,871
0,2018-02-15,651
1,2018-02-15,135
0,2018-02-16,939
1,2018-02-16,274
0,2018-02-17,711
1,2018-02-17,328
0,2018-02-18,603
1,2018-02-18,157
0,2018-02-19,587
1,2018-02-19,294
0,2018-02-20,166
1,2018-02-20,767
0,2018-02-21,529
1,2018-02-21,924
0,2018-02-22,60
1,2018-02-22,98
0,2018-02-23,591
1,2018-02-23,812
0,2018-02-24,622
1,2018-02-24,748
0,2018-02-25,999
1,2018-02-25,239
0,2018-02-26,584
1,2018-02-26,266
0,2018-02-27,958
1,2018-02-27,937
0,2018-02-28,641
1,2018-02-28,5
0,2018-03-01,812
1,2018-03-01,814
0,2018-03-02,272
1,2018-03-02,8
0,2018-03-03,562
1,2018-03-03,289
0,2018-03-04,244
1,2018-03-04,194
0,2018-03-05,91
1,2018-03-05,7
0,2018-03-06,644
1,2018-03-06,293
0,2018-03-07,804
1,2018-03-07,8
0,2018-03-08,85
1,2018-03-08,470
0,2018-03-09,492
1,2018-03-09,351
0,2018-03-10,461
1,2018-03-10,729
0,2018-03-11,749
1,2018-03-11,490
0,2018-03-12,202
1,2018-03-12,453
0,2018-03-13,713
1,2018-03-13,362
0,2018-03-14,198
1,2018-03-14,281
0,2018-03-15,479
1,2018-03-15,973
0,2018-03-16,13
1,2018-03-16,222
0,2018-03-17,728
1,2018-03-17,629
0,2018-03-18,507
1,2018-03-18,420
0,2018-03-19,98
1,2018-03-19,996
0,2018-03-20,240
1,2018-03-20,398
0,2018-03-21,979
1,2018-03-21,421
0,2018-03-22,159
1,2018-03-22,759
0,2018-03-23,746
1,2018-03-23,224
0,2018-03-24,808
1,2018-03-24,495
0,2018-03-25,333
1,2018-03-25,655
0,2018-03-26,604
1,2018-03-26,452
0,2018-03-27,258
1,2018-03-27,477
0,2018-03-28,452
1,2018-03-28,932
0,2018-03-29,250
1,2018-03-29,670
0,2018-03-30,646
1,2018-03-30,184
0,2018-03-31,305
1,2018-03-31,457
0,2018-04-01,734
1,2018-04-01,255
0,2018-04-02,236
1,2018-04-02,218
0,2018-04-03,406
1,2018-04-03,384
0,2018-04-04,30
1,2018-04-04,465
0,2018-04-05,809
1,2018-04-05,186
0,2018-04-06,637
1,2018-04-06,616
0,2018-04-07,291
1,2018-04-07,905
0,2018-04-08,658
1,2018-04-08,179
0,2018-04-09,850
1,2018-04-09,10
0,2018-04-10,748
1,2018-04-10,206
0,2018-04-11,321
1,2018-04-11,630
0,2018-04-12,563
1,2018-04-12,790
0,2018-04-13,553
1,2018-04-13,158
0,2018-04-14,478
1,2018-04-14,12
0,2018-04-15,822
1,2018-04-15,203
0,2018-04-16,609
1,2018-04-16,537
0,2018-04-17,702
1,2018-04-17,721
0,2018-04-18,70
1,2018-04-18,72
0,2018-04-19,467
1,2018-04-19,211
0,2018-04-20,991
1,2018-04-20,314
0,2018-04-21,550
1,2018-04-21,51
0,2018-04-22,255
1,2018-04-22,497
0,2018-04-23,314
1,2018-04-23,42
0,2018-04-24,420
1,2018-04-24,161
0,2018-04-25,312
1,2018-04-25,307
0,2018-04-26,559
1,2018-04-26,318
0,2018-04-27,788
1,2018-04-27,994
0,2018-04-28,230
1,2018-04-28,239
0,2018-04-29,690
1,2018-04-29,660
0,2018-04-30,691
1,2018-04-30,456
0,2018-05-01,396
1,2018-05-01,154
0,2018-05-02,11
1,2018-05-02,445
0,2018-05-03,803
1,2018-05-03,182
0,2018-05-04,444
1,2018-05-04,87
0,2018-05-05,903
1,2018-05-05,99
0,2018-05-06,306
1,2018-05-06,847
0,2018-05-07,985
1,2018-05-07,677
0,2018-05-08,5
1,2018-05-08,920
0,2018-05-09,180
1,2018-05-09,643
0,2018-05-10,239
1,2018-05-10,801
0,2018-05-11,293
1,2018-05-11,554
0,2018-05-12,323
1,2018-05-12,815
0,2018-05-13,698
1,2018-05-13,630
0,2018-05-14,81
1,2018-05-14,751
0,2018-05-15,323
1,2018-05-15,123
0,2018-05-16,592
1,2018-05-16,489
0,2018-05-17,142
1,2018-05-17,913
0,2018-05-18,307
1,2018-05-18,517
0,2018-05-19,139
1,2018-05-19,28
0,2018-05-20,373
1,2018-05-20,632
0,2018-05-21,781
1,2018-05-21,938
0,2018-05-22,582
1,2018-05-22,917
0,2018-05-23,949
1,2018-05-23,118
0,2018-05-24,791
1,2018-05-24,364
0,2018-05-25,987
1,2018-05-25,766
0,2018-05-26,488
1,2018-05-26,805
0,2018-05-27,224
1,2018-05-27,949
0,2018-05-28,145
1,2018-05-28,619
0,2018-05-29,977
1,2018-05-29,285
0,2018-05-30,217
1,2018-05-30,914
0,2018-05-31,250
1,2018-05-31,164
0,2018-06-01,578
1,2018-06-01,496
0,2018-06-02,726
1,2018-06-02,140
0,2018-06-03,41
1,2018-06-03,183
0,2018-06-04,547
1,2018-06-04,589
0,2018-06-05,873
1,2018-06-05,693
0,2018-06-06,273
1,2018-06-06,24
0,2018-06-07,731
1,2018-06-07,973
0,2018-06-08,663
1,2018-06-08,447
0,2018-06-09,188
1,2018-06-09,328
0,2018-06-10,3
1,2018-06-10,602
0,2018-06-11,731
1,2018-06-11,702
0,2018-06-12,613
1,2018-06-12,192
0,2018-06-13,233
1,2018-06-13,486
0,2018-06-14,867
1,2018-06-14,874
0,2018-06-15,624
1,2018-06-15,533
0,2018-06-16,35
1,2018-06-16,642
0,2018-06-17,782
1,2018-06-17,498
0,2018-06-18,371
1,2018-06-18,318
0,2018-06-19,830
1,2018-06-19,118
0,2018-06-20,101
1,2018-06-20,705
0,2018-06-21,456
1,2018-06-21,995
0,2018-06-22,933
1,2018-06-22,901
0,2018-06-23,781
1,2018-06-23,605
0,2018-06-24,317
1,2018-06-24,722
0,2018-06-25,628
1,2018-06-25,910
0,2018-06-26,588
1,2018-06-26,275
0,2018-06-27,50
1,2018-06-27,448
0,2018-06-28,616
1,2018-06-28,132
0,2018-06-29,420
1,2018-06-29,141
0,2018-06-30,810
1,2018-06-30,267
0,2018-07-01,361
1,2018-07-01,273
0,2018-07-02,20
1,2018-07-02,494
0,2018-07-03,669
1,2018-07-03,119
0,2018-07-04,168
1,2018-07-04,694
0,2018-07-05,383
1,2018-07-05,724
0,2018-07-06,212
1,2018-07-06,7
0,2018-07-07,410
1,2018-07-07,955
0,2018-07-08,122
1,2018-07-08,149
0,2018-07-09,201
1,2018-07-09,507
0,2018-07-10,751
1,2018-07-10,897
0,2018-07-11,189
1,2018-07-11,368
0,2018-07-12,221
1,2018-07-12,778
0,2018-07-13,283
1,2018-07-13,686
0,2018-07-14,20
1,2018-07-14,503
0,2018-07-15,485
1,2018-07-15,731
0,2018-07-16,806
1,2018-07-16,851
0,2018-07-17,848
1,2018-07-17,740
0,2018-07-18,303
1,2018-07-18,728
0,2018-07-19,275
1,2018-07-19,153
0,2018-07-20,940
1,2018-07-20,44
0,2018-07-21,715
1,2018-07-21,236
0,2018-07-22,299
1,2018-07-22,417
0,2018-07-23,923
1,2018-07-23,376
0,2018-07-24,817
1,2018-07-24,217
0,2018-07-25,355
1,2018-07-25,812
0,2018-07-26,111
1,2018-07-26,516
0,2018-07-27,657
1,2018-07-27,706
0,2018-07-28,322
1,2018-07-28,186
0,2018-07-29,14
1,2018-07-29,431
0,2018-07-30,939
1,2018-07-30,676
0,2018-07-31,809
1,2018-07-31,223
0,2018-08-01,513
1,2018-08-01,508
0,2018-08-02,61
1,2018-08-02,183
0,2018-08-03,962
1,2018-08-03,769
0,2018-08-04,800
1,2018-08-04,131
0,2018-08-05,518
1,2018-08-05,991
0,2018-08-06,593
1,2018-08-06,915
0,2018-08-07,246
1,2018-08-07,917
0,2018-08-08,263
1,2018-08-08,738
0,2018-08-09,676
1,2018-08-09,824
0,2018-08-10,416
1,2018-08-10,16
0,2018-08-11,447
1,2018-08-11,763
0,2018-08-12,254
1,2018-08-12,239
0,2018-08-13,791
1,2018-08-13,764
0,2018-08-14,476
1,2018-08-14,996
0,2018-08-15,454
1,2018-08-15,45
0,2018-08-16,658
1,2018-08-16,412
0,2018-08-17,786
1,2018-08-17,359
0,2018-08-18,853
1,2018-08-18,251
0,2018-08-19,877
1,2018-08-19,304
0,2018-08-20,179
1,2018-08-20,208
0,2018-08-21,32
1,2018-08-21,599
0,2018-08-22,207
1,2018-08-22,930
0,2018-08-23,506
1,2018-08-23,460
0,2018-08-24,563
1,2018-08-24,528
0,2018-08-25,347
1,2018-08-25,609
0,2018-08-26,950
1,2018-08-26,509
0,2018-08-27,443
1,2018-08-27,257
0,2018-08-28,26
1,2018-08-28,746
0,2018-08-29,172
1,2018-08-29,953
0,2018-08-30,51
1,2018-08-30,470
0,2018-08-31,442
1,2018-08-31,899
0,2018-09-01,344
1,2018-09-01,881
0,2018-09-02,721
1,2018-09-02,370
0,2018-09-03,576
1,2018-09-03,203
0,2018-09-04,250
1,2018-09-04,729
0,2018-09-05,145
1,2018-09-05,394
0,2018-09-06,209
1,2018-09-06,270
0,2018-09-07,64
1,2018-09-07,769
0,2018-09-08,444
1,2018-09-08,992
0,2018-09-09,25
1,2018-09-09,336
0,2018-09-10,986
1,2018-09-10,576
0,2018-09-11,457
1,2018-09-11,272
0,2018-09-12,930
1,2018-09-12,804
0,2018-09-13,164
1,2018-09-13,66
0,2018-09-14,586
1,2018-09-14,60
0,2018-09-15,377
1,2018-09-15,738
0,2018-09-16,255
1,2018-09-16,713
0,2018-09-17,262
1,2018-09-17,733
0,2018-09-18,687
1,2018-09-18,939
0,2018-09-19,830
1,2018-09-19,287
0,2018-09-20,658
1,2018-09-20,763
0,2018-09-21,433
1,2018-09-21,786
0,2018-09-22,66
1,2018-09-22,420
0,2018-09-23,889
1,2018-09-23,621
0,2018-09-24,49
1,2018-09-24,827
0,2018-09-25,835
1,2018-09-25,184
0,2018-09-26,724
1,2018-09-26,142
0,2018-09-27,36
1,2018-09-27,652
