Draw,Date,Pick3,Pick4,Pick5
0,2019-02-08,283,8790,76486
1,2019-02-08,562,7615,88617
0,2019-02-09,378,7913,88135
1,2019-02-09,291,8808,68963
0,2019-02-10,703,9477,23845
1,2019-02-10,533,3994,30995
0,2019-02-11,696,2219,84013
1,2019-02-11,108,2511,73431
0,2019-02-12,491,6278,16792
1,2019-02-12,62,5144,67612
0,2019-02-13,854,3817,36676
1,2019-02-13,134,746,11591
0,2019-02-14,170,2919,44196
1,2019-02-14,963,351,14049
0,2019-02-15,778,9647,83304
1,2019-02-15,499,6363,72879
0,2019-02-16,651,6014,54534
1,2019-02-16,301,6442,15431
0,2019-02-17,252,1313,95583
1,2019-02-17,40,2275,41661
0,2019-02-18,840,1017,57088
1,2019-02-18,581,9090,36936
0,2019-02-19,768,374,98844
1,2019-02-19,193,1511,25184
0,2019-02-20,689,6516,78454
1,2019-02-20,568,1416,33504
0,2019-02-21,924,1696,51339
1,2019-02-21,155,6553,39375
0,2019-02-22,885,6309,25706
1,2019-02-22,507,7516,49046
0,2019-02-23,582,7268,41149
1,2019-02-23,853,3957,15345
0,2019-02-24,363,67,66178
1,2019-02-24,27,3115,77606
0,2019-02-25,419,3310,47695
1,2019-02-25,821,4242,42618
0,2019-02-26,591,5270,47817
1,2019-02-26,603,290,92159
0,2019-02-27,48,8278,7211
1,2019-02-27,691,1234,91349
0,2019-02-28,414,4860,69452
1,2019-02-28,274,543,38935
0,2019-03-01,250,7727,72452
1,2019-03-01,11,9271,59017
0,2019-03-02,555,257,55295
1,2019-03-02,755,3913,44242
0,2019-03-03,471,3111,80228
1,2019-03-03,205,9212,23373
0,2019-03-04,252,6166,85144
1,2019-03-04,980,1673,39076
0,2019-03-05,202,2125,81870
1,2019-03-05,335,8102,96353
0,2019-03-06,289,8137,62228
1,2019-03-06,289,2011,53410
0,2019-03-07,378,4686,89150
1,2019-03-07,221,1368,23485
0,2019-03-08,401,1994,58461
1,2019-03-08,715,7416,81494
0,2019-03-09,989,3772,15978
1,2019-03-09,103,4493,42290
0,2019-03-10,193,5711,8485
1,2019-03-10,312,6717,18704
0,2019-03-11,741,6451,60907
1,2019-03-11,439,6365,29402
0,2019-03-12,112,3861,24777
1,2019-03-12,570,987,6931
0,2019-03-13,525,6977,17333
1,2019-03-13,520,2061,6775
0,2019-03-14,119,6626,43161
1,2019-03-14,830,153,58195
0,2019-03-15,899,652,90983
1,2019-03-15,736,9132,53071
0,2019-03-16,48,3940,90229
1,2019-03-16,276,271,13322
0,2019-03-17,225,9454,39504
1,2019-03-17,747,2498,56087
0,2019-03-18,771,3202,46100
1,2019-03-18,866,2070,73620
0,2019-03-19,594,6828,44003
1,2019-03-19,714,9394,47759
0,2019-03-20,347,6353,44710
1,2019-03-20,448,8502,28500
0,2019-03-21,205,9661,77771
1,2019-03-21,747,1129,52664
0,2019-03-22,116,3981,6310
1,2019-03-22,39,7003,55047
0,2019-03-23,366,8054,86451
1,2019-03-23,637,2951,59306
0,2019-03-24,988,3192,68741
1,2019-03-24,748,2743,97437
0,2019-03-25,592,4429,53768
1,2019-03-25,531,7986,23131
0,2019-03-26,884,5300,18844
1,2019-03-26,81,5101,79858
0,2019-03-27,888,7652,36513
1,2019-03-27,57,9524,30821
0,2019-03-28,493,8817,46391
1,2019-03-28,113,5674,72690
0,2019-03-29,809,9561,4063
1,2019-03-29,207,2466,32573
0,2019-03-30,283,966,47041
1,2019-03-30,574,5961,10313
0,2019-03-31,397,5700,29739
1,2019-03-31,190,4749,55886
0,2019-04-01,575,9429,93695
1,2019-04-01,674,1202,77823
0,2019-04-02,345,9108,32448
1,2019-04-02,471,627,56128
0,2019-04-03,511,3361,16714
1,2019-04-03,902,7947,89027
0,2019-04-04,656,2454,31715
1,2019-04-04,603,3477,47466
0,2019-04-05,935,3606,65176
1,2019-04-05,213,5582,79619
0,2019-04-06,578,3003,49877
1,2019-04-06,912,3077,79643
0,2019-04-07,943,9925,44983
1,2019-04-07,64,5743,9989
0,2019-04-08,90,4628,96106
1,2019-04-08,322,7778,50998
0,2019-04-09,95,4084,50569
1,2019-04-09,765,8393,22293
0,2019-04-10,983,2566,2153
1,2019-04-10,423,8968,27060
0,2019-04-11,807,465,30382
1,2019-04-11,176,103,8551
0,2019-04-12,130,460,13777
1,2019-04-12,547,8940,2639
0,2019-04-13,86,1802,22354
1,2019-04-13,554,5027,82260
0,2019-04-14,683,5672,78436
1,2019-04-14,888,9676,24402
0,2019-04-15,508,4608,56168
1,2019-04-15,583,1960,81258
0,2019-04-16,587,4642,39990
1,2019-04-16,722,1483,42936
0,2019-04-17,560,5264,92429
1,2019-04-17,575,5772,58786
0,2019-04-18,904,9932,18843
1,2019-04-18,161,6886,16469
0,2019-04-19,586,660,1155
1,2019-04-19,290,8208,47459
0,2019-04-20,923,867,94788
1,2019-04-20,193,1732,967
0,2019-04-21,261,739,5081
1,2019-04-21,557,4695,73305
0,2019-04-22,742,8516,98051
1,2019-04-22,99,4792,69948
0,2019-04-23,965,1395,69749
1,2019-04-23,137,8135,86441
0,2019-04-24,307,2449,67569
1,2019-04-24,584,584,35202
0,2019-04-25,394,2062,63744
1,2019-04-25,530,689,72002
0,2019-04-26,593,3873,36661
1,2019-04-26,32,5703,77563
0,2019-04-27,568,6953,52203
1,2019-04-27,8,5510,40690
0,2019-04-28,508,8826,72203
1,2019-04-28,813,1967,15286
0,2019-04-29,167,6200,94055
1,2019-04-29,358,8617,14614
0,2019-04-30,507,5691,86642
1,2019-04-30,885,7071,83351
0,2019-05-01,358,2599,196
1,2019-05-01,604,7730,20560
0,2019-05-02,162,6865,68438
1,2019-05-02,868,9116,10480
0,2019-05-03,56,6075,64256
1,2019-05-03,417,136,81896
0,2019-05-04,161,6943,50235
1,2019-05-04,247,7881,50261
0,2019-05-05,510,5952,44584
1,2019-05-05,804,7113,77163
0,2019-05-06,551,7814,69486
1,2019-05-06,889,3023,27538
0,2019-05-07,235,4152,94452
1,2019-05-07,331,6678,65987
0,2019-05-08,403,9554,24265
1,2019-05-08,7,165,28461
0,2019-05-09,970,4201,81017
1,2019-05-09,720,4190,69357
0,2019-05-10,95,315,58141
1,2019-05-10,235,7851,17110
0,2019-05-11,420,3650,86481
1,2019-05-11,934,4632,79710
0,2019-05-12,28,3571,88641
1,2019-05-12,224,8748,95988
0,2019-05-13,891,7093,18199
1,2019-05-13,125,8983,44777
0,2019-05-14,155,4060,42467
1,2019-05-14,48,7437,95507
0,2019-05-15,586,619,17798
1,2019-05-15,790,8844,59561
0,2019-05-16,977,8688,26762
1,2019-05-16,52,4179,18093
0,2019-05-17,38,9961,67721
1,2019-05-17,972,4006,62037
0,2019-05-18,224,696,35474
1,2019-05-18,231,3184,45966
0,2019-05-19,178,6866,26335
1,2019-05-19,695,3635,44167
0,2019-05-20,893,305,60623
1,2019-05-20,731,208,2481
0,2019-05-21,735,2877,86542
1,2019-05-21,987,2727,81887
0,2019-05-22,920,5092,77465
1,2019-05-22,290,2309,89357
0,2019-05-23,854,2164,63435
1,2019-05-23,445,9229,94612
0,2019-05-24,969,7007,32882
1,2019-05-24,333,7415,37852
0,2019-05-25,265,8036,25017
1,2019-05-25,731,9102,38760
0,2019-05-26,744,6257,4617
1,2019-05-26,825,2851,21782
0,2019-05-27,366,4158,30400
1,2019-05-27,775,5247,52763
0,2019-05-28,834,7355,78086
1,2019-05-28,343,3368,62967
0,2019-05-29,626,477,51227
1,2019-05-29,322,4740,26018
0,2019-05-30,31,347,46050
1,2019-05-30,958,6791,85757
0,2019-05-31,866,4091,61861
1,2019-05-31,286,6661,24107
0,2019-06-01,793,7504,84010
1,2019-06-01,713,9967,92966
0,2019-06-02,335,678,55553
1,2019-06-02,310,435,56396
0,2019-06-03,131,1955,82209
1,2019-06-03,75,5806,4657
0,2019-06-04,446,4271,42244
1,2019-06-04,706,9187,14605
0,2019-06-05,96,7188,60063
1,2019-06-05,497,6402,32406
0,2019-06-06,343,342,21130
1,2019-06-06,96,8428,21249
0,2019-06-07,92,7589,93473
1,2019-06-07,274,8067,78988
0,2019-06-08,339,1164,28020
1,2019-06-08,180,5984,76222
0,2019-06-09,221,5729,62629
1,2019-06-09,505,4156,59526
0,2019-06-10,6,5484,76741
1,2019-06-10,721,1197,50413
0,2019-06-11,22,516,62076
1,2019-06-11,934,7835,29575
0,2019-06-12,737,4473,79151
1,2019-06-12,150,680,54632
0,2019-06-13,178,8348,35811
1,2019-06-13,231,7432,28297
0,2019-06-14,544,6473,37190
1,2019-06-14,305,7801,29294
0,2019-06-15,55,9170,39915
1,2019-06-15,217,51,4884
0,2019-06-16,27,8377,8135
1,2019-06-16,794,4638,7077
0,2019-06-17,78,5001,70892
1,2019-06-17,827,7032,91346
0,2019-06-18,338,1250,52834
1,2019-06-18,104,6396,84483
0,2019-06-19,138,2145,78710
1,2019-06-19,451,2198,79747
0,2019-06-20,581,65,70179
1,2019-06-20,465,4366,64571
0,2019-06-21,795,6466,83251
1,2019-06-21,978,9816,56359
0,2019-06-22,493,9780,5400
1,2019-06-22,218,7739,9867
0,2019-06-23,119,5703,83974
1,2019-06-23,510,8327,81992
0,2019-06-24,983,7017,5490
1,2019-06-24,627,9322,88476
0,2019-06-25,718,1403,92754
1,2019-06-25,419,6545,19785
0,2019-06-26,350,5411,81612
1,2019-06-26,659,1105,68075
0,2019-06-27,773,1943,99303
1,2019-06-27,728,5017,78604
0,2019-06-28,167,2006,81047
1,2019-06-28,284,3807,468
0,2019-06-29,180,7536,11306
1,2019-06-29,201,2216,29171
0,2019-06-30,198,1548,1726
1,2019-06-30,55,2445,80921
0,2019-07-01,177,2085,62427
1,2019-07-01,998,1210,7937
0,2019-07-02,268,3232,45365
1,2019-07-02,760,2895,1251
0,2019-07-03,543,9719,2548
1,2019-07-03,217,6300,39513
0,2019-07-04,475,3255,55452
1,2019-07-04,605,6638,88840
0,2019-07-05,74,4239,93284
1,2019-07-05,750,1897,25560
0,2019-07-06,311,5546,37581
1,2019-07-06,85,5156,48999
0,2019-07-07,174,9769,15021
1,2019-07-07,194,4129,87022
0,2019-07-08,175,2882,67437
1,2019-07-08,245,8661,61262
0,2019-07-09,816,555,65900
1,2019-07-09,397,3291,83768
0,2019-07-10,553,2064,10904
1,2019-07-10,17,9941,1322
0,2019-07-11,43,4548,10311
1,2019-07-11,84,5706,38135
0,2019-07-12,613,8780,43553
1,2019-07-12,544,2947,503
0,2019-07-13,703,8062,59527
1,2019-07-13,920,3186,20241
0,2019-07-14,801,8381,83036
1,2019-07-14,154,8740,4039
0,2019-07-15,190,5118,11927
1,2019-07-15,769,4253,73104
0,2019-07-16,198,7848,82024
1,2019-07-16,345,1062,11685
0,2019-07-17,282,1055,8151
1,2019-07-17,214,7883,94330
0,2019-07-18,269,5806,61395
1,2019-07-18,708,6798,28919
0,2019-07-19,113,512,65984
1,2019-07-19,70,7521,89265
0,2019-07-20,711,5768,83713
1,2019-07-20,832,6293,61918
0,2019-07-21,876,138,91266
1,2019-07-21,621,7445,67840
0,2019-07-22,218,1649,41476
1,2019-07-22,127,2851,38819
0,2019-07-23,891,1074,97967
1,2019-07-23,198,5858,52035
0,2019-07-24,589,8264,56662
1,2019-07-24,447,3960,51072
0,2019-07-25,241,9170,48264
1,2019-07-25,964,1075,20719
0,2019-07-26,947,6444,44773
1,2019-07-26,240,1536,64403
0,2019-07-27,983,8884,7379
1,2019-07-27,510,6181,7101
0,2019-07-28,142,6273,73588
1,2019-07-28,83,9833,89931
0,2019-07-29,369,7785,8967
1,2019-07-29,673,6318,16387
0,2019-07-30,546,5093,8783
1,2019-07-30,431,2453,8359
0,2019-07-31,342,5966,11066
1,2019-07-31,397,9502,9757
0,2019-08-01,125,3373,10550
1,2019-08-01,254,2800,72730
0,2019-08-02,279,2653,44990
1,2019-08-02,493,9289,77769
0,2019-08-03,986,2919,19743
1,2019-08-03,189,7660,28721
0,2019-08-04,382,7382,89240
1,2019-08-04,785,2094,35121
0,2019-08-05,46,4591,3028
1,2019-08-05,342,804,53865
0,2019-08-06,738,1975,44844
1,2019-08-06,817,2355,28435
0,2019-08-07,430,691,8211
1,2019-08-07,173,3110,23449
0,2019-08-08,392,9340,55909
1,2019-08-08,156,2788,89346
0,2019-08-09,448,647,95799
1,2019-08-09,818,4286,92159
0,2019-08-10,130,3108,38246
1,2019-08-10,270,1610,28404
0,2019-08-11,926,8288,59230
1,2019-08-11,896,1983,60755
0,2019-08-12,905,2086,21301
1,2019-08-12,111,8527,36793
0,2019-08-13,704,59,47157
1,2019-08-13,949,4839,26831
0,2019-08-14,912,6514,47650
1,2019-08-14,107,4269,80578
0,2019-08-15,261,9191,71961
1,2019-08-15,509,9515,22923
0,2019-08-16,823,5771,4158
1,2019-08-16,290,6336,51509
0,2019-08-17,499,4770,59606
1,2019-08-17,143,2605,89774
0,2019-08-18,585,3158,83037
1,2019-08-18,485,5965,1469
0,2019-08-19,960,5852,78437
1,2019-08-19,475,4617,3743
0,2019-08-20,51,4682,61318
1,2019-08-20,3,1168,68741
0,2019-08-21,325,531,78111
1,2019-08-21,679,9533,40853
0,2019-08-22,658,8340,86168
1,2019-08-22,789,8365,36626
0,2019-08-23,604,5578,58999
1,2019-08-23,329,5875,78067
0,2019-08-24,222,9205,51233
1,2019-08-24,385,7545,45488
0,2019-08-25,715,8332,99315
1,2019-08-25,285,8309,99693
0,2019-08-26,351,4346,54846
1,2019-08-26,426,1187,11216
0,2019-08-27,10,5461,13745
1,2019-08-27,854,9085,16476
0,2019-08-28,510,1974,16968
1,2019-08-28,52,2025,79887
0,2019-08-29,455,2251,50963
1,2019-08-29,954,4987,14430
0,2019-08-30,84,3252,73306
1,2019-08-30,793,4501,70761
0,2019-08-31,956,7103,36492
1,2019-08-31,76,5546,15462
0,2019-09-01,790,2192,48245
1,2019-09-01,4,6857,81222
0,2019-09-02,212,8208,32211
1,2019-09-02,722,5815,362
0,2019-09-03,716,1490,71992
1,2019-09-03,120,7154,11604
0,2019-09-04,362,8533,16843
1,2019-09-04,988,7328,84175
0,2019-09-05,448,5002,34966
1,2019-09-05,210,4618,84533
0,2019-09-06,76,675,92003
1,2019-09-06,785,5560,79285
0,2019-09-07,6,7733,51379
1,2019-09-07,146,2597,77660
0,2019-09-08,820,1736,14068
1,2019-09-08,406,5200,48719
0,2019-09-09,855,163,12278
1,2019-09-09,362,4228,95931
0,2019-09-10,663,8779,18139
1,2019-09-10,66,2856,20710
0,2019-09-11,216,5337,23408
1,2019-09-11,41,1465,47157
0,2019-09-12,190,8419,98583
1,2019-09-12,151,9931,23639
0,2019-09-13,900,8240,16629
1,2019-09-13,497,1000,56801
0,2019-09-14,579,8274,39067
1,2019-09-14,154,6941,21647
0,2019-09-15,801,7076,81069
1,2019-09-15,742,3324,83654
0,2019-09-16,191,6827,94546
1,2019-09-16,536,9728,17913
0,2019-09-17,947,9394,50559
1,2019-09-17,882,1339,6965
0,2019-09-18,325,6402,57813
1,2019-09-18,985,1237,80704
0,2019-09-19,390,9992,77787
1,2019-09-19,150,8558,29179
0,2019-09-20,507,882,53119
1,2019-09-20,831,275,17612
0,2019-09-21,50,9088,76698
1,2019-09-21,618,9237,51572
0,2019-09-22,591,5723,49954
1,2019-09-22,968,1662,36769
0,2019-09-23,0,201,54487
1,2019-09-23,531,5317,24392
0,2019-09-24,908,647,69246
1,2019-09-24,607,8560,69810
0,2019-09-25,48,7635,28272
1,2019-09-25,901,3525,69921
0,2019-09-26,103,8165,34738
1,2019-09-26,272,5057,48873
0,2019-09-27,434,8084,55066
1,2019-09-27,891,5620,83047
0,2019-09-28,688,3427,742
1,2019-09-28,624,8039,45087
0,2019-09-29,469,5652,84956
1,2019-09-29,832,8683,65220
0,2019-09-30,577,8120,74634
1,2019-09-30,185,3396,82833
0,2019-10-01,513,1349,58171
1,2019-10-01,127,3156,37241
0,2019-10-02,675,3680,13137
1,2019-10-02,477,1446,71972
0,2019-10-03,87,4229,928
1,2019-10-03,444,9417,23492
0,2019-10-04,360,1507,10774
1,2019-10-04,895,3110,64860
0,2019-10-05,609,4465,1753
1,2019-10-05,354,8195,42928
0,2019-10-06,20,8503,54515
1,2019-10-06,104,7181,99939
0,2019-10-07,669,3163,51786
1,2019-10-07,664,5671,80355
0,2019-10-08,629,8283,69546
1,2019-10-08,584,1174,65958
0,2019-10-09,528,6719,56294
1,2019-10-09,810,1341,51037
0,2019-10-10,235,1452,13213
1,2019-10-10,62,1435,67839
0,2019-10-11,820,5925,20692
1,2019-10-11,627,2228,2983
0,2019-10-12,853,3211,66239
1,2019-10-12,935,670,21750
0,2019-10-13,593,5051,59644
1,2019-10-13,519,476,38266
0,2019-10-14,290,6378,76059
1,2019-10-14,168,5775,92565
0,2019-10-15,716,8939,46851
1,2019-10-15,656,4810,12139
0,2019-10-16,695,601,63487
1,2019-10-16,360,7640,97302
0,2019-10-17,519,7674,55071
1,2019-10-17,144,2218,81458
0,2019-10-18,638,424,33779
1,2019-10-18,711,9891,99298
0,2019-10-19,87,5523,95628
1,2019-10-19,812,7278,78508
0,2019-10-20,444,5660,52089
1,2019-10-20,895,4416,82768
0,2019-10-21,41,9951,52200
1,2019-10-21,381,7499,23997
0,2019-10-22,500,7084,63712
1,2019-10-22,984,7995,31887
0,2019-10-23,787,6653,53399
1,2019-10-23,663,961,40073
0,2019-10-24,260,2356,84094
1,2019-10-24,151,9308,30765
0,2019-10-25,920,3927,20572
1,2019-10-25,630,9234,96317
0,2019-10-26,104,3698,50257
1,2019-10-26,561,1372,28037
0,2019-10-27,777,6272,47731
1,2019-10-27,716,6677,83782
0,2019-10-28,852,9836,43233
1,2019-10-28,910,1819,59079
0,2019-10-29,221,9915,91413
1,2019-10-29,204,1345,91243
0,2019-10-30,600,5438,52633
1,2019-10-30,944,9178,31793
0,2019-10-31,90,9799,55853
1,2019-10-31,931,2202,74140
0,2019-11-01,908,9240,17534
1,2019-11-01,978,361,85875
0,2019-11-02,201,9924,10642
1,2019-11-02,65,2657,81893
0,2019-11-03,115,6090,69754
1,2019-11-03,837,2772,15039
0,2019-11-04,597,6063,70849
1,2019-11-04,614,1086,4357
0,2019-11-05,581,6491,58770
1,2019-11-05,206,5243,58975
0,2019-11-06,942,5410,81445
1,2019-11-06,654,5754,6062
0,2019-11-07,575,438,75183
1,2019-11-07,376,4288,56092
0,2019-11-08,698,4652,84901
1,2019-11-08,322,4077,36259
0,2019-11-09,293,7149,62344
1,2019-11-09,421,9406,50928
0,2019-11-10,612,8694,13551
1,2019-11-10,368,9416,38214
0,2019-11-11,211,644,93197
1,2019-11-11,45,3388,52193
0,2019-11-12,128,7613,89825
1,2019-11-12,376,7801,67199
0,2019-11-13,261,7770,19253
1,2019-11-13,135,8753,28040
0,2019-11-14,581,1346,46880
1,2019-11-14,243,3941,99279
0,2019-11-15,13,8220,97126
1,2019-11-15,531,3332,33819
0,2019-11-16,440,8396,87717
1,2019-11-16,136,7510,7730
0,2019-11-17,736,5284,92511
1,2019-11-17,380,5797,92295
0,2019-11-18,443,1605,66421
1,2019-11-18,330,1440,48421
0,2019-11-19,630,2248,7069
1,2019-11-19,437,3312,44769
0,2019-11-20,779,6123,92974
1,2019-11-20,546,2512,47976
0,2019-11-21,904,1031,13192
1,2019-11-21,361,6603,25437
0,2019-11-22,375,854,80296
1,2019-11-22,17,2917,77674
0,2019-11-23,328,5110,94112
1,2019-11-23,790,9637,3271
0,2019-11-24,167,9689,38222
1,2019-11-24,568,2830,75998
0,2019-11-25,904,2367,81094
1,2019-11-25,971,9159,72272
0,2019-11-26,948,4055,42153
1,2019-11-26,775,138,37048
0,2019-11-27,33,361,67995
1,2019-11-27,114,85,77695
0,2019-11-28,48,9106,45536
1,2019-11-28,189,6395,37063
0,2019-11-29,376,5190,25784
1,2019-11-29,811,433,99368
0,2019-11-30,222,898,93584
1,2019-11-30,686,3234,70928
0,2019-12-01,111,4850,13486
1,2019-12-01,643,2270,30296
0,2019-12-02,984,3643,23624
1,2019-12-02,874,1001,62152
0,2019-12-03,810,7514,16041
1,2019-12-03,101,6516,25067
0,2019-12-04,804,2327,94827
1,2019-12-04,701,6139,77569
0,2019-12-05,781,6923,70386
1,2019-12-05,661,3799,76542
0,2019-12-06,616,2441,95325
1,2019-12-06,452,3520,22483
0,2019-12-07,425,1011,75640
1,2019-12-07,20,2540,64971
0,2019-12-08,879,1520,84227
1,2019-12-08,117,2375,23906
0,2019-12-09,813,9271,1741
1,2019-12-09,31,1200,65702
0,2019-12-10,394,4556,45744
1,2019-12-10,525,1007,18471
0,2019-12-11,280,9124,42736
1,2019-12-11,550,8151,56461
0,2019-12-12,642,8225,615
1,2019-12-12,812,207,72697
0,2019-12-13,472,5387,79745
1,2019-12-13,488,2209,38448
0,2019-12-14,988,8288,77650
1,2019-12-14,125,3400,42454
0,2019-12-15,254,3155,93690
1,2019-12-15,363,9203,43386
0,2019-12-16,273,466,15713
1,2019-12-16,108,3311,52948
0,2019-12-17,991,1068,9382
1,2019-12-17,592,2114,7721
0,2019-12-18,906,4439,44563
1,2019-12-18,793,4947,7257
0,2019-12-19,854,9292,46019
1,2019-12-19,350,5448,53329
0,2019-12-20,750,3092,36830
1,2019-12-20,605,9070,48718
0,2019-12-21,642,5554,88202
1,2019-12-21,74,9281,9623
0,2019-12-22,76,4395,80842
1,2019-12-22,988,8807,62033
0,2019-12-23,422,3925,44216
1,2019-12-23,83,4906,95908
0,2019-12-24,821,5564,42999
1,2019-12-24,176,2343,31881
0,2019-12-25,720,5628,81147
1,2019-12-25,813,2862,5938
0,2019-12-26,130,3712,84796
1,2019-12-26,658,9364,44118
0,2019-12-27,867,4949,27128
1,2019-12-27,76,881,21950
0,2019-12-28,785,6490,10359
1,2019-12-28,111,1776,69557
0,2019-12-29,172,9522,53461
1,2019-12-29,219,4498,98235
0,2019-12-30,354,5378,24254
1,2019-12-30,655,4842,56307
0,2019-12-31,699,7952,47896
1,2019-12-31,257,1734,88768
0,2018-01-01,164,4096,17591
1,2018-01-01,95,7858,96082
0,2018-01-02,685,1625,29108
1,2018-01-02,292,4373,80813
0,2018-01-03,790,5544,46136
1,2018-01-03,587,674,48538
0,2018-01-04,16,5423,47620
1,2018-01-04,123,5217,64043
0,2018-01-05,655,8339,24673
1,2018-01-05,999,9838,6043
0,2018-01-06,396,9074,77648
1,2018-01-06,952,6486,96211
0,2018-01-07,984,3156,23455
1,2018-01-07,561,1909,6600
0,2018-01-08,710,282,72891
1,2018-01-08,773,7120,57685
0,2018-01-09,971,2162,84157
1,2018-01-09,912,8016,63412
0,2018-01-10,406,7682,47658
1,2018-01-10,13,2075,92199
0,2018-01-11,906,6285,42350
1,2018-01-11,985,8424,43439
0,2018-01-12,742,1923,658
1,2018-01-12,29,306,30246
0,2018-01-13,57,657,67333
1,2018-01-13,147,5362,28824
0,2018-01-14,677,2272,26875
1,2018-01-14,479,8004,19541
0,2018-01-15,372,9043,55297
1,2018-01-15,672,5086,87964
0,2018-01-16,385,4875,56801
1,2018-01-16,514,6967,19365
0,2018-01-17,581,8753,12862
1,2018-01-17,975,7841,98179
0,2018-01-18,799,3497,61203
1,2018-01-18,224,7056,34178
0,2018-01-19,512,8128,80602
1,2018-01-19,156,4481,27376
0,2018-01-20,9,3435,2096
1,2018-01-20,595,8029,19470
0,2018-01-21,609,3302,12638
1,2018-01-21,406,5790,92711
0,2018-01-22,866,3497,23226
1,2018-01-22,447,3901,47841
0,2018-01-23,352,7353,43059
1,2018-01-23,15,9342,29682
0,2018-01-24,908,973,66497
1,2018-01-24,623,7758,16109
0,2018-01-25,254,6977,50541
1,2018-01-25,767,5563,52665
0,2018-01-26,660,5126,54486
1,2018-01-26,997,593,96258
0,2018-01-27,821,3354,46016
1,2018-01-27,563,7333,31404
0,2018-01-28,249,6000,79043
1,2018-01-28,719,5940,86089
0,2018-01-29,349,9606,44584
1,2018-01-29,762,3757,33922
0,2018-01-30,35,8089,31457
1,2018-01-30,206,5396,21239
0,2018-01-31,226,722,97893
1,2018-01-31,875,2412,21069
0,2018-02-01,219,2894,67719
1,2018-02-01,365,2375,47286
0,2018-02-02,746,1598,15107
1,2018-02-02,581,9001,32095
0,2018-02-03,947,1138,98205
1,2018-02-03,441,2383,66294
0,2018-02-04,379,3263,46982
1,2018-02-04,65,5400,2939
0,2018-02-05,338,1522,22768
1,2018-02-05,970,1794,60656
0,2018-02-06,913,3901,9633
1,2018-02-06,643,6238,23269
0,2018-02-07,633,4363,41140
1,2018-02-07,856,1504,13082
0,2018-02-08,94,9361,96505
1,2018-02-08,74,1278,22459
0,2018-02-09,394,7141,86626
1,2018-02-09,61,3651,60198
0,2018-02-10,599,1227,53142
1,2018-02-10,254,9638,18451
0,2018-02-11,930,9910,8400
1,2018-02-11,341,1162,17172
0,2018-02-12,466,1151,1812
1,2018-02-12,611,3264,74793
0,2018-02-13,891,2109,47538
1,2018-02-13,834,7467,45973
0,2018-02-14,245,519,65792
1,2018-02-14,871,4141,1466
0,2018-02-15,651,2593,116
1,2018-02-15,135,5405,43533
0,2018-02-16,939,3375,4372
1,2018-02-16,274,6414,47811
0,2018-02-17,711,5698,94971
1,2018-02-17,328,884,96769
