Draw,Date,Pick3,Date_Delta
1,2019-06-28,284,3100.0
0,2019-06-29,180,3101.0
1,2019-06-29,201,3101.0
0,2019-06-30,198,3102.0
1,2019-06-30,55,3102.0
0,2019-07-01,177,3103.0
1,2019-07-01,998,3103.0
0,2019-07-02,268,3104.0
1,2019-07-02,760,3104.0
0,2019-07-03,543,3105.0
1,2019-07-03,217,3105.0
0,2019-07-04,475,3106.0
1,2019-07-04,605,3106.0
0,2019-07-05,74,3107.0
1,2019-07-05,750,3107.0
0,2019-07-06,311,3108.0
1,2019-07-06,85,3108.0
0,2019-07-07,174,3109.0
1,2019-07-07,194,3109.0
0,2019-07-08,175,3110.0
1,2019-07-08,245,3110.0
0,2019-07-09,816,3111.0
1,2019-07-09,397,3111.0
0,2019-07-10,553,3112.0
1,2019-07-10,17,3112.0
0,2019-07-11,43,3113.0
1,2019-07-11,84,3113.0
0,2019-07-12,613,3114.0
1,2019-07-12,544,3114.0
0,2019-07-13,703,3115.0
1,2019-07-13,920,3115.0
0,2019-07-14,801,3116.0
1,2019-07-14,154,3116.0
0,2019-07-15,190,3117.0
1,2019-07-15,769,3117.0
0,2019-07-16,198,3118.0
1,2019-07-16,345,3118.0
0,2019-07-17,282,3119.0
1,2019-07-17,214,3119.0
0,2019-07-18,269,3120.0
1,2019-07-18,708,3120.0
0,2019-07-19,113,3121.0
1,2019-07-19,70,3121.0
0,2019-07-20,711,3122.0
1,2019-07-20,832,3122.0
0,2019-07-21,876,3123.0
1,2019-07-21,621,3123.0
0,2019-07-22,218,3124.0
1,2019-07-22,127,3124.0
0,2019-07-23,891,3125.0
1,2019-07-23,198,3125.0
0,2019-07-24,589,3126.0
1,2019-07-24,447,3126.0
0,2019-07-25,241,3127.0
1,2019-07-25,964,3127.0
0,2019-07-26,947,3128.0
1,2019-07-26,240,3128.0
0,2019-07-27,983,3129.0
1,2019-07-27,510,3129.0
0,2019-07-28,142,3130.0
1,2019-07-28,83,3130.0
0,2019-07-29,369,3131.0
1,2019-07-29,673,3131.0
0,2019-07-30,546,3132.0
1,2019-07-30,431,3132.0
0,2019-07-31,342,3133.0
1,2019-07-31,397,3133.0
0,2019-08-01,125,3134.0
1,2019-08-01,254,3134.0
0,2019-08-02,279,3135.0
1,2019-08-02,493,3135.0
0,2019-08-03,986,3136.0
1,2019-08-03,189,3136.0
0,2019-08-04,382,3137.0
1,2019-08-04,785,3137.0
0,2019-08-05,46,3138.0
1,2019-08-05,342,3138.0
0,2019-08-06,738,3139.0
1,2019-08-06,817,3139.0
0,2019-08-07,430,3140.0
1,2019-08-07,173,3140.0
0,2019-08-08,392,3141.0
1,2019-08-08,156,3141.0
0,2019-08-09,448,3142.0
1,2019-08-09,818,3142.0
0,2019-08-10,130,3143.0
1,2019-08-10,270,3143.0
0,2019-08-11,926,3144.0
1,2019-08-11,896,3144.0
0,2019-08-12,905,3145.0
1,2019-08-12,111,3145.0
0,2019-08-13,704,3146.0
1,2019-08-13,949,3146.0
0,2019-08-14,912,3147.0
1,2019-08-14,107,3147.0
0,2019-08-15,261,3148.0
1,2019-08-15,509,3148.0
0,2019-08-16,823,3149.0
1,2019-08-16,290,3149.0
0,2019-08-17,499,3150.0
1,2019-08-17,143,3150.0
0,2019-08-18,585,3151.0
1,2019-08-18,485,3151.0
0,2019-08-19,960,3152.0
1,2019-08-19,475,3152.0
0,2019-08-20,51,3153.0
1,2019-08-20,3,3153.0
0,2019-08-21,325,3154.0
1,2019-08-21,679,3154.0
0,2019-08-22,658,3155.0
1,2019-08-22,789,3155.0
0,2019-08-23,604,3156.0
1,2019-08-23,329,3156.0
0,2019-08-24,222,3157.0
1,2019-08-24,385,3157.0
0,2019-08-25,715,3158.0
1,2019-08-25,285,3158.0
0,2019-08-26,351,3159.0
1,2019-08-26,426,3159.0
0,2019-08-27,10,3160.0
1,2019-08-27,854,3160.0
0,2019-08-28,510,3161.0
1,2019-08-28,52,3161.0
0,2019-08-29,455,3162.0
1,2019-08-29,954,3162.0
0,2019-08-30,84,3163.0
1,2019-08-30,793,3163.0
0,2019-08-31,956,3164.0
1,2019-08-31,76,3164.0
0,2019-09-01,790,3165.0
1,2019-09-01,4,3165.0
0,2019-09-02,212,3166.0
1,2019-09-02,722,3166.0
0,2019-09-03,716,3167.0
1,2019-09-03,120,3167.0
0,2019-09-04,362,3168.0
1,2019-09-04,988,3168.0
0,2019-09-05,448,3169.0
1,2019-09-05,210,3169.0
0,2019-09-06,76,3170.0
1,2019-09-06,785,3170.0
0,2019-09-07,6,3171.0
1,2019-09-07,146,3171.0
0,2019-09-08,820,3172.0
1,2019-09-08,406,3172.0
0,2019-09-09,855,3173.0
1,2019-09-09,362,3173.0
0,2019-09-10,663,3174.0
1,2019-09-10,66,3174.0
0,2019-09-11,216,3175.0
1,2019-09-11,41,3175.0
0,2019-09-12,190,3176.0
1,2019-09-12,151,3176.0
0,2019-09-13,900,3177.0
1,2019-09-13,497,3177.0
0,2019-09-14,579,3178.0
1,2019-09-14,154,3178.0
0,2019-09-15,801,3179.0
1,2019-09-15,742,3179.0
0,2019-09-16,191,3180.0
1,2019-09-16,536,3180.0
0,2019-09-17,947,3181.0
1,2019-09-17,882,3181.0
0,2019-09-18,325,3182.0
1,2019-09-18,985,3182.0
0,2019-09-19,390,3183.0
1,2019-09-19,150,3183.0
0,2019-09-20,507,3184.0
1,2019-09-20,831,3184.0
0,2019-09-21,50,3185.0
1,2019-09-21,618,3185.0
0,2019-09-22,591,3186.0
1,2019-09-22,968,3186.0
0,2019-09-23,0,3187.0
1,2019-09-23,531,3187.0
0,2019-09-24,908,3188.0
1,2019-09-24,607,3188.0
0,2019-09-25,48,3189.0
1,2019-09-25,901,3189.0
0,2019-09-26,103,3190.0
1,2019-09-26,272,3190.0
0,2019-09-27,434,3191.0
1,2019-09-27,891,3191.0
0,2019-09-28,688,3192.0
1,2019-09-28,624,3192.0
0,2019-09-29,469,3193.0
1,2019-09-29,832,3193.0
0,2019-09-30,577,3194.0
1,2019-09-30,185,3194.0
0,2019-10-01,513,3195.0
1,2019-10-01,127,3195.0
0,2019-10-02,675,3196.0
1,2019-10-02,477,3196.0
0,2019-10-03,87,3197.0
1,2019-10-03,444,3197.0
0,2019-10-04,360,3198.0
1,2019-10-04,895,3198.0
0,2019-10-05,609,3199.0
1,2019-10-05,354,3199.0
0,2019-10-06,20,3200.0
1,2019-10-06,104,3200.0
0,2019-10-07,669,3201.0
1,2019-10-07,664,3201.0
0,2019-10-08,629,3202.0
1,2019-10-08,584,3202.0
0,2019-10-09,528,3203.0
1,2019-10-09,810,3203.0
0,2019-10-10,235,3204.0
1,2019-10-10,62,3204.0
0,2019-10-11,820,3205.0
1,2019-10-11,627,3205.0
0,2019-10-12,853,3206.0
1,2019-10-12,935,3206.0
0,2019-10-13,593,3207.0
1,2019-10-13,519,3207.0
0,2019-10-14,290,3208.0
1,2019-10-14,168,3208.0
0,2019-10-15,716,3209.0
1,2019-10-15,656,3209.0
0,2019-10-16,695,3210.0
1,2019-10-16,360,3210.0
0,2019-10-17,519,3211.0
1,2019-10-17,144,3211.0
0,2019-10-18,638,3212.0
1,2019-10-18,711,3212.0
0,2019-10-19,87,3213.0
1,2019-10-19,812,3213.0
0,2019-10-20,444,3214.0
1,2019-10-20,895,3214.0
0,2019-10-21,41,3215.0
1,2019-10-21,381,3215.0
0,2019-10-22,500,3216.0
1,2019-10-22,984,3216.0
0,2019-10-23,787,3217.0
1,2019-10-23,663,3217.0
0,2019-10-24,260,3218.0
1,2019-10-24,151,3218.0
0,2019-10-25,920,3219.0
1,2019-10-25,630,3219.0
0,2019-10-26,104,3220.0
1,2019-10-26,561,3220.0
0,2019-10-27,777,3221.0
1,2019-10-27,716,3221.0
0,2019-10-28,852,3222.0
1,2019-10-28,910,3222.0
0,2019-10-29,221,3223.0
1,2019-10-29,204,3223.0
0,2019-10-30,600,3224.0
1,2019-10-30,944,3224.0
0,2019-10-31,90,3225.0
1,2019-10-31,931,3225.0
0,2019-11-01,908,3226.0
1,2019-11-01,978,3226.0
0,2019-11-02,201,3227.0
1,2019-11-02,65,3227.0
0,2019-11-03,115,3228.0
1,2019-11-03,837,3228.0
0,2019-11-04,597,3229.0
1,2019-11-04,614,3229.0
0,2019-11-05,581,3230.0
1,2019-11-05,206,3230.0
0,2019-11-06,942,3231.0
1,2019-11-06,654,3231.0
0,2019-11-07,575,3232.0
1,2019-11-07,376,3232.0
0,2019-11-08,698,3233.0
1,2019-11-08,322,3233.0
0,2019-11-09,293,3234.0
1,2019-11-09,421,3234.0
0,2019-11-10,612,3235.0
1,2019-11-10,368,3235.0
0,2019-11-11,211,3236.0
1,2019-11-11,45,3236.0
0,2019-11-12,128,3237.0
1,2019-11-12,376,3237.0
0,2019-11-13,261,3238.0
1,2019-11-13,135,3238.0
0,2019-11-14,581,3239.0
1,2019-11-14,243,3239.0
0,2019-11-15,13,3240.0
1,2019-11-15,531,3240.0
0,2019-11-16,440,3241.0
1,2019-11-16,136,3241.0
0,2019-11-17,736,3242.0
1,2019-11-17,380,3242.0
0,2019-11-18,443,3243.0
1,2019-11-18,330,3243.0
0,2019-11-19,630,3244.0
1,2019-11-19,437,3244.0
0,2019-11-20,779,3245.0
1,2019-11-20,546,3245.0
0,2019-11-21,904,3246.0
1,2019-11-21,361,3246.0
0,2019-11-22,375,3247.0
1,2019-11-22,17,3247.0
0,2019-11-23,328,3248.0
1,2019-11-23,790,3248.0
0,2019-11-24,167,3249.0
1,2019-11-24,568,3249.0
0,2019-11-25,904,3250.0
1,2019-11-25,971,3250.0
0,2019-11-26,948,3251.0
1,2019-11-26,775,3251.0
0,2019-11-27,33,3252.0
1,2019-11-27,114,3252.0
0,2019-11-28,48,3253.0
1,2019-11-28,189,3253.0
0,2019-11-29,376,3254.0
1,2019-11-29,811,3254.0
0,2019-11-30,222,3255.0
1,2019-11-30,686,3255.0
0,2019-12-01,111,3256.0
1,2019-12-01,643,3256.0
0,2019-12-02,984,3257.0
1,2019-12-02,874,3257.0
0,2019-12-03,810,3258.0
1,2019-12-03,101,3258.0
0,2019-12-04,804,3259.0
1,2019-12-04,701,3259.0
0,2019-12-05,781,3260.0
1,2019-12-05,661,3260.0
0,2019-12-06,616,3261.0
1,2019-12-06,452,3261.0
0,2019-12-07,425,3262.0
1,2019-12-07,20,3262.0
0,2019-12-08,879,3263.0
1,2019-12-08,117,3263.0
0,2019-12-09,813,3264.0
1,2019-12-09,31,3264.0
0,2019-12-10,394,3265.0
1,2019-12-10,525,3265.0
0,2019-12-11,280,3266.0
1,2019-12-11,550,3266.0
0,2019-12-12,642,3267.0
1,2019-12-12,812,3267.0
0,2019-12-13,472,3268.0
1,2019-12-13,488,3268.0
0,2019-12-14,988,3269.0
1,2019-12-14,125,3269.0
0,2019-12-15,254,3270.0
1,2019-12-15,363,3270.0
0,2019-12-16,273,3271.0
1,2019-12-16,108,3271.0
0,2019-12-17,991,3272.0
1,2019-12-17,592,3272.0
0,2019-12-18,906,3273.0
1,2019-12-18,793,3273.0
0,2019-12-19,854,3274.0
1,2019-12-19,350,3274.0
0,2019-12-20,750,3275.0
1,2019-12-20,605,3275.0
0,2019-12-21,642,3276.0
1,2019-12-21,74,3276.0
0,2019-12-22,76,3277.0
1,2019-12-22,988,3277.0
0,2019-12-23,422,3278.0
1,2019-12-23,83,3278.0
0,2019-12-24,821,3279.0
1,2019-12-24,176,3279.0
0,2019-12-25,720,3280.0
1,2019-12-25,813,3280.0
0,2019-12-26,130,3281.0
1,2019-12-26,658,3281.0
0,2019-12-27,867,3282.0
1,2019-12-27,76,3282.0
0,2019-12-28,785,3283.0
1,2019-12-28,111,3283.0
0,2019-12-29,172,3284.0
1,2019-12-29,219,3284.0
0,2019-12-30,354,3285.0
1,2019-12-30,655,3285.0
0,2019-12-31,699,3286.0
1,2019-12-31,257,3286.0
0,2018-01-01,164,2557.0
1,2018-01-01,95,2557.0
0,2018-01-02,685,2558.0
1,2018-01-02,292,2558.0
0,2018-01-03,790,2559.0
1,2018-01-03,587,2559.0
0,2018-01-04,16,2560.0
1,2018-01-04,123,2560.0
0,2018-01-05,655,2561.0
1,2018-01-05,999,2561.0
0,2018-01-06,396,2562.0
1,2018-01-06,952,2562.0
0,2018-01-07,984,2563.0
1,2018-01-07,561,2563.0
0,2018-01-08,710,2564.0
1,2018-01-08,773,2564.0
0,2018-01-09,971,2565.0
1,2018-01-09,912,2565.0
0,2018-01-10,406,2566.0
1,2018-01-10,13,2566.0
0,2018-01-11,906,2567.0
1,2018-01-11,985,2567.0
0,2018-01-12,742,2568.0
1,2018-01-12,29,2568.0
0,2018-01-13,57,2569.0
1,2018-01-13,147,2569.0
0,2018-01-14,677,2570.0
1,2018-01-14,479,2570.0
0,2018-01-15,372,2571.0
1,2018-01-15,672,2571.0
0,2018-01-16,385,2572.0
1,2018-01-16,514,2572.0
0,2018-01-17,581,2573.0
1,2018-01-17,975,2573.0
0,2018-01-18,799,2574.0
1,2018-01-18,224,2574.0
0,2018-01-19,512,2575.0
1,2018-01-19,156,2575.0
0,2018-01-20,9,2576.0
1,2018-01-20,595,2576.0
0,2018-01-21,609,2577.0
1,2018-01-21,406,2577.0
0,2018-01-22,866,2578.0
1,2018-01-22,447,2578.0
0,2018-01-23,352,2579.0
1,2018-01-23,15,2579.0
0,2018-01-24,908,2580.0
1,2018-01-24,623,2580.0
0,2018-01-25,254,2581.0
1,2018-01-25,767,2581.0
0,2018-01-26,660,2582.0
1,2018-01-26,997,2582.0
0,2018-01-27,821,2583.0
1,2018-01-27,563,2583.0
0,2018-01-28,249,2584.0
1,2018-01-28,719,2584.0
0,2018-01-29,349,2585.0
1,2018-01-29,762,2585.0
0,2018-01-30,35,2586.0
1,2018-01-30,206,2586.0
0,2018-01-31,226,2587.0
1,2018-01-31,875,2587.0
0,2018-02-01,219,2588.0
1,2018-02-01,365,2588.0
0,2018-02-02,746,2589.0
1,2018-02-02,581,2589.0
0,2018-02-03,947,2590.0
1,2018-02-03,441,2590.0
0,2018-02-04,379,2591.0
1,2018-02-04,65,2591.0
0,2018-02-05,338,2592.0
1,2018-02-05,970,2592.0
0,2018-02-06,913,2593.0
1,2018-02-06,643,2593.0
0,2018-02-07,633,2594.0
1,2018-02-07,856,2594.0
0,2018-02-08,94,2595.0
1,2018-02-08,74,2595.0
0,2018-02-09,394,2596.0
1,2018-02-09,61,2596.0
0,2018-02-10,599,2597.0
1,2018-02-10,254,2597.0
0,2018-02-11,930,2598.0
1,2018-02-11,341,2598.0
0,2018-02-12,466,2599.0
1,2018-02-12,611,2599.0
0,2018-02-13,891,2600.0
1,2018-02-13,834,2600.0
0,2018-02-14,245,2601.0
1,2018-02-14,871,2601.0
0,2018-02-15,651,2602.0
1,2018-02-15,135,2602.0
0,2018-02-16,939,2603.0
1,2018-02-16,274,2603.0
0,2018-02-17,711,2604.0
1,2018-02-17,328,2604.0
0,2018-02-18,603,2605.0
1,2018-02-18,157,2605.0
0,2018-02-19,587,2606.0
1,2018-02-19,294,2606.0
0,2018-02-20,166,2607.0
1,2018-02-20,767,2607.0
0,2018-02-21,529,2608.0
1,2018-02-21,924,2608.0
0,2018-02-22,60,2609.0
1,2018-02-22,98,2609.0
0,2018-02-23,591,2610.0
1,2018-02-23,812,2610.0
0,2018-02-24,622,2611.0
1,2018-02-24,748,2611.0
0,2018-02-25,999,2612.0
1,2018-02-25,239,2612.0
0,2018-02-26,584,2613.0
1,2018-02-26,266,2613.0
0,2018-02-27,958,2614.0
1,2018-02-27,937,2614.0
0,2018-02-28,641,2615.0
1,2018-02-28,5,2615.0
0,2018-03-01,812,2616.0
1,2018-03-01,814,2616.0
0,2018-03-02,272,2617.0
1,2018-03-02,8,2617.0
0,2018-03-03,562,2618.0
1,2018-03-03,289,2618.0
0,2018-03-04,244,2619.0
1,2018-03-04,194,2619.0
0,2018-03-05,91,2620.0
1,2018-03-05,7,2620.0
0,2018-03-06,644,2621.0
1,2018-03-06,293,2621.0
0,2018-03-07,804,2622.0
1,2018-03-07,8,2622.0
0,2018-03-08,85,2623.0
1,2018-03-08,470,2623.0
0,2018-03-09,492,2624.0
1,2018-03-09,351,2624.0
0,2018-03-10,461,2625.0
1,2018-03-10,729,2625.0
0,2018-03-11,749,2626.0
1,2018-03-11,490,2626.0
0,2018-03-12,202,2627.0
1,2018-03-12,453,2627.0
